name,full_name,short_name,image,height,weight,positions,date_of_birth,transfer_value,wage,preferred_foot,club_name,club_logo,club_kit_number,club_joined,club_contract_valid_until,country_flag,fc_profile_id,fc_club_id,total_apps,starting_apps,sub_apps,mins_played,motm,rating,red,yellow,goals,assists,shots_per_game,dribbles_per_game,fouled_per_game,offside_per_game,possession_lost_per_game,bad_touch_per_game,key_passes_per_game,passes_per_game,pass_accuracy,cross_per_game,long_pass_per_game,through_pass_per_game,tackles_per_game,interceptions_per_game,fouls_per_game,clearances_per_game,dribbled_past_per_game,blocks_per_game,own_goals
Bukayo Saka,Bukayo Saka,B. Saka,https://cdn.futbin.com/content/fifa24/img/players/246669.png,178,143,"RW,RM",2001-09-05,€99M,€150K,left,Arsenal,https://cdn.sofifa.net/meta/team/19/60.png,7,2018-09-14,2027,https://cdn.sofifa.net/flags/gb-eng.png,246669.0,1,11,11,0,949,4,7.59,0,1,4,4,2,1.5,2.3,0.1,1.5,1.5,2.5,38.6,83.3,1.8,0.8,0,2.3,0.3,1.4,0.4,1,0.1,0
Declan Rice,Declan Rice,D. Rice,https://cdn.futbin.com/content/fifa24/img/players/234378.png,185,176,"CDM,CM",1999-01-14,€63M,€130K,right,Arsenal,https://cdn.sofifa.net/meta/team/19/60.png,41,2023-07-15,2028,https://cdn.sofifa.net/flags/gb-eng.png,234378.0,1,12,12,0,1026,1,7.23,0,0,2,1,1.1,0.5,0.5,0.1,0.7,0.3,0.8,60.1,91.7,0,2.8,0.1,2,1.3,0.6,1.4,0.8,0.3,0
Gabriel Martinelli,Gabriel Teodoro Martinelli Silva,Gabriel Martinelli,https://cdn.futbin.com/content/fifa24/img/players/251566.png,178,165,"LW,LM",2001-06-18,€61.5M,€145K,right,Arsenal,https://cdn.sofifa.net/meta/team/19/60.png,11,2019-07-02,2027,https://cdn.sofifa.net/flags/br.png,251566.0,1,10,9,1,728,0,7.15,0,0,1,2,1.7,1.8,0.8,0.3,1.7,0.9,1.7,31.3,88.5,1.5,1.4,0.1,0.7,0.3,0.8,0.1,0.4,0,0
Martin Ødegaard,Martin Ødegaard,M. Ødegaard,https://cdn.futbin.com/content/fifa24/img/players/222665.png,178,150,"CAM,CM",1998-12-17,€109M,€170K,left,Arsenal,https://cdn.sofifa.net/meta/team/19/60.png,8,2021-08-20,2028,https://cdn.sofifa.net/flags/no.png,222665.0,1,9,9,0,791,1,7.09,0,1,3,1,2.3,0.8,0.8,0.1,1.9,1.9,1.7,41.4,84.5,0.8,0.7,0.1,2,0.3,0.6,0.1,1.2,0,0
Thomas Partey,Thomas Partey,T. Partey,https://cdn.futbin.com/content/fifa24/img/players/209989.png,185,170,"CDM,CM",1993-06-13,€45M,€150K,right,Arsenal,https://cdn.sofifa.net/meta/team/19/60.png,5,2020-10-05,2024,https://cdn.sofifa.net/flags/gh.png,209989.0,1,4,3,1,252,0,6.95,0,0,0,0,0.5,1.5,0.5,0,0.8,0.3,0.8,60,91.7,0.5,2.5,0,1.5,1,0,0.5,0.5,0.3,0
Eddie Nketiah,Edward Nketiah,E. Nketiah,https://cdn.futbin.com/content/fifa24/img/players/236988.png,180,161,ST,1999-05-30,€8.5M,€74K,right,Arsenal,https://cdn.sofifa.net/meta/team/19/60.png,14,2016-09-14,2027,https://cdn.sofifa.net/flags/gb-eng.png,236988.0,1,12,9,3,774,1,6.92,0,2,5,0,2.1,0.7,1.4,0.6,0.9,1.9,0.5,11.5,83.3,0,0,0,0.5,0.3,1.1,0.3,0.3,0,0
Gabriel Jesus,Gabriel Fernando de Jesus,Gabriel Jesus,https://cdn.futbin.com/content/fifa24/img/players/230666.png,175,161,"ST,RW",1997-04-03,€50.5M,€165K,right,Arsenal,https://cdn.sofifa.net/meta/team/19/60.png,9,2022-07-04,2027,https://cdn.sofifa.net/flags/br.png,230666.0,1,7,4,3,364,0,6.87,0,2,1,0,1.4,1.9,1.4,0.3,2.3,1.7,0.6,18.7,71.8,0,0.1,0,1.4,0.6,1.6,0.3,0.6,0,0
Ben White,Benjamin White,B. White,https://cdn.futbin.com/content/fifa24/img/players/231936.png,185,170,"RB,CB",1997-10-08,€25.5M,€95K,right,Arsenal,https://cdn.sofifa.net/meta/team/19/60.png,4,2021-07-30,2026,https://cdn.sofifa.net/flags/gb-eng.png,231936.0,1,11,11,0,949,0,6.87,0,2,1,0,0.4,0.4,0.2,0.1,0.3,0.7,0.9,63.4,86.1,0.5,2.5,0,1.1,0.8,0.5,1.9,0.4,0.9,0
Oleksandr Zinchenko,Oleksandr Zinchenko,O. Zinchenko,https://cdn.futbin.com/content/fifa24/img/players/227813.png,175,141,LB,1996-12-15,€24M,€100K,left,Arsenal,https://cdn.sofifa.net/meta/team/19/60.png,35,2022-07-22,2027,https://cdn.sofifa.net/flags/ua.png,227813.0,1,11,8,3,668,1,6.81,0,1,1,0,0.9,0.3,0.4,0.1,0.4,0.3,0.9,50.5,89.6,0.2,2.4,0.2,2,0.6,0.3,0.4,0.3,0.1,0
Leandro Trossard,Leandro Trossard,L. Trossard,https://cdn.futbin.com/content/fifa24/img/players/207421.png,171,148,"CF,LW",1994-12-04,€26.5M,€130K,right,Arsenal,https://cdn.sofifa.net/meta/team/19/60.png,19,2023-01-20,2027,https://cdn.sofifa.net/flags/be.png,207421.0,1,8,3,5,302,1,6.80,0,0,3,1,0.9,0.4,0.5,0.3,0.8,0.8,1.1,13.4,79.4,0.8,0.3,0,0.5,0.3,0,0.1,0.1,0,0
Gabriel Magalhães,Gabriel dos Santos Magalhães,Gabriel,https://cdn.futbin.com/content/fifa24/img/players/232580.png,190,192,CB,1997-12-19,€47M,€130K,left,Arsenal,https://cdn.sofifa.net/meta/team/19/60.png,6,2020-09-01,2027,https://cdn.sofifa.net/flags/br.png,232580.0,1,10,8,2,744,0,6.79,0,1,0,0,0.6,0,0.8,0.1,0,0.3,0.1,51.7,89,0,2.1,0,1.2,1.1,1,1.4,0.1,1.1,0
William Saliba,William Alain André Gabriel Saliba,W. Saliba,https://cdn.futbin.com/content/fifa24/img/players/243715.png,193,187,CB,2001-03-24,€53M,€105K,right,Arsenal,https://cdn.sofifa.net/meta/team/19/60.png,2,2019-07-25,2024,https://cdn.sofifa.net/flags/fr.png,243715.0,1,12,12,0,1080,1,6.79,0,0,1,1,0.3,0.2,0.3,0,0.2,0.6,0.2,83.5,93.8,0,2.4,0.2,0.8,0.8,0.3,2,0.1,0.5,0
David Raya,David Raya Martin,David Raya,https://cdn.futbin.com/content/fifa24/img/players/220901.png,183,165,GK,1995-09-15,€19.5M,€48K,right,Arsenal,https://cdn.sofifa.net/meta/team/19/60.png,22,undefined,"jun 30, 2024",https://cdn.sofifa.net/flags/es.png,220901.0,1,8,8,0,720,0,6.70,0,0,0,0,0,0,0.3,0,0,0,0,33.6,76.6,0,5.8,0,0,0,0,0.6,0,0,0
