name,starting_apps,sub_apps,mins,goals,asists,yel,red,shots_per_game,pass_accuracy,motm,aerial_duels_won,rating,positions,dob,value,wage,preferred_foot,profile_id,club_id,kit_number,joined,contract_valid_until,flag,image,key_passes,dribbles,fouled,offsides,possession_lost,bad_touch,tackles,interceptions,fouls,offsides_won,clearances,dribbled_past,blocks,own_goals,pass_per_game,accuracy,crosses,long_balls,through_balls,team_name
Bukayo Saka,11,0,949,4,4,1,0,2,83.3,4,0.9,7.59,"RW,RM",2001-09-05,€99M,€150K,left,246669,1,7,2018-09-14,2027,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/246669.png,2.5,1.5,2.3,0.1,1.5,1.5,2.3,0.3,1.4,0.1,0.4,1,0.1,0,38.6,83.3,1.8,0.8,0,Arsenal
Declan Rice,12,0,1026,2,1,0,0,1.1,91.7,1,0.9,7.23,"CDM,CM",1999-01-14,€63M,€130K,right,234378,1,41,2023-07-15,2028,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/234378.png,0.8,0.5,0.5,0.1,0.7,0.3,2,1.3,0.6,0,1.4,0.8,0.3,0,60.1,91.7,0,2.8,0.1,Arsenal
Gabriel Martinelli,9,1,728,1,2,0,0,1.7,88.5,0,0.8,7.15,"LW,LM",2001-06-18,€61.5M,€145K,right,251566,1,11,2019-07-02,2027,https://cdn.sofifa.net/flags/br.png,https://cdn.futbin.com/content/fifa24/img/players/251566.png,1.7,1.8,0.8,0.3,1.7,0.9,0.7,0.3,0.8,0,0.1,0.4,0,0,31.3,88.5,1.5,1.4,0.1,Arsenal
Martin Ødegaard,9,0,791,3,1,1,0,2.3,84.5,1,0,7.09,"CAM,CM",1998-12-17,€109M,€170K,left,222665,1,8,2021-08-20,2028,https://cdn.sofifa.net/flags/no.png,https://cdn.futbin.com/content/fifa24/img/players/222665.png,1.7,0.8,0.8,0.1,1.9,1.9,2,0.3,0.6,0,0.1,1.2,0,0,41.4,84.5,0.8,0.7,0.1,Arsenal
Thomas Partey,3,1,252,0,0,0,0,0.5,91.7,0,0.5,6.95,"CDM,CM",1993-06-13,€45M,€150K,right,209989,1,5,2020-10-05,2024,https://cdn.sofifa.net/flags/gh.png,https://cdn.futbin.com/content/fifa24/img/players/209989.png,0.8,1.5,0.5,0,0.8,0.3,1.5,1,0,0,0.5,0.5,0.3,0,60,91.7,0.5,2.5,0,Arsenal
Eddie Nketiah,9,3,774,5,0,2,0,2.1,83.3,1,1.3,6.92,ST,1999-05-30,€8.5M,€74K,right,236988,1,14,2016-09-14,2027,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/236988.png,0.5,0.7,1.4,0.6,0.9,1.9,0.5,0.3,1.1,0,0.3,0.3,0,0,11.5,83.3,0,0,0,Arsenal
Gabriel Jesus,4,3,364,1,0,2,0,1.4,71.8,0,1,6.87,"ST,RW",1997-04-03,€50.5M,€165K,right,230666,1,9,2022-07-04,2027,https://cdn.sofifa.net/flags/br.png,https://cdn.futbin.com/content/fifa24/img/players/230666.png,0.6,1.9,1.4,0.3,2.3,1.7,1.4,0.6,1.6,0,0.3,0.6,0,0,18.7,71.8,0,0.1,0,Arsenal
Ben White,11,0,949,1,0,2,0,0.4,86.1,0,1,6.87,"RB,CB",1997-10-08,€25.5M,€95K,right,231936,1,4,2021-07-30,2026,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/231936.png,0.9,0.4,0.2,0.1,0.3,0.7,1.1,0.8,0.5,0.3,1.9,0.4,0.9,0,63.4,86.1,0.5,2.5,0,Arsenal
Oleksandr Zinchenko,8,3,668,1,0,1,0,0.9,89.6,1,0.9,6.81,LB,1996-12-15,€24M,€100K,left,227813,1,35,2022-07-22,2027,https://cdn.sofifa.net/flags/ua.png,https://cdn.futbin.com/content/fifa24/img/players/227813.png,0.9,0.3,0.4,0.1,0.4,0.3,2,0.6,0.3,0.2,0.4,0.3,0.1,0,50.5,89.6,0.2,2.4,0.2,Arsenal
Leandro Trossard,3,5,302,3,1,0,0,0.9,79.4,1,0.1,6.80,"CF,LW",1994-12-04,€26.5M,€130K,right,207421,1,19,2023-01-20,2027,https://cdn.sofifa.net/flags/be.png,https://cdn.futbin.com/content/fifa24/img/players/207421.png,1.1,0.4,0.5,0.3,0.8,0.8,0.5,0.3,0,0,0.1,0.1,0,0,13.4,79.4,0.8,0.3,0,Arsenal
Gabriel Magalhães,8,2,744,0,0,1,0,0.6,89,0,1.8,6.79,CB,1997-12-19,€47M,€130K,left,232580,1,6,2020-09-01,2027,https://cdn.sofifa.net/flags/br.png,https://cdn.futbin.com/content/fifa24/img/players/232580.png,0.1,0,0.8,0.1,0,0.3,1.2,1.1,1,0.5,1.4,0.1,1.1,0,51.7,89,0,2.1,0,Arsenal
