name,starting_apps,sub_apps,mins,goals,asists,yel,red,shots_per_game,pass_accuracy,motm,aerial_duels_won,rating,positions,dob,value,wage,preferred_foot,profile_id,club_id,kit_number,joined,contract_valid_until,flag,image,key_passes,dribbles,fouled,offsides,possession_lost,bad_touch,tackles,interceptions,fouls,offsides_won,clearances,dribbled_past,blocks,own_goals,pass_per_game,accuracy,crosses,long_balls,through_balls,team_name
Ollie Watkins,12,0,1043,6,5,1,0,3,77.2,1,0.8,7.30,ST,1995-12-30,€24.5M,€95K,right,221697,2,11,2020-09-09,2025,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/221697.png,1.7,0.5,1,0.3,0.9,2.3,0.3,0,0.3,0.2,0.6,0.3,0.2,0,15.3,77.2,0,0.1,0.1,Aston Villa
John McGinn,12,0,1020,3,2,2,0,1,81.7,1,0.1,7.16,"CM,RM,CDM",1994-10-18,€17.5M,€87K,left,210881,2,7,2018-08-08,2027,https://cdn.sofifa.net/flags/gb-sct.png,https://cdn.futbin.com/content/fifa24/img/players/210881.png,1.3,1.9,1.9,0.1,0.8,1.3,0.9,0.6,1.3,0.1,0.2,1.3,0,0,29.7,81.7,0.9,2.2,0.4,Aston Villa
Douglas Luiz,12,0,1028,5,1,4,0,1.7,88.4,2,0.8,7.16,"CDM,CM",1998-05-09,€22M,€73K,right,236499,2,6,2019-07-25,2026,https://cdn.sofifa.net/flags/br.png,https://cdn.futbin.com/content/fifa24/img/players/236499.png,1.2,0.7,1.3,0,0.5,1.3,2.3,0.4,1.2,0,0.8,0.8,0.4,0,61.8,88.4,0.7,3.9,0.2,Aston Villa
Moussa Diaby,12,0,953,3,3,0,0,2.1,83.7,1,0.1,7.01,"RM,LM",1999-07-07,€60.5M,€105K,left,241852,2,19,2023-07-22,2028,https://cdn.sofifa.net/flags/fr.png,https://cdn.futbin.com/content/fifa24/img/players/241852.png,1.8,0.9,0.4,0.3,1.2,1.6,0.4,0.2,0.5,0,0.1,0.4,0,0,21,83.7,0.4,0.5,0.1,Aston Villa
Jacob Ramsey,0,2,49,1,0,0,0,1.5,86.7,0,0.5,6.98,"LM,CM",2001-05-21,€21.5M,€66K,right,246923,2,41,2017-07-01,2027,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/246923.png,0,0,0.5,0,1,1,2,0.5,0,0,0,1,0,0,7.5,86.7,0,0,0,Aston Villa
Lucas Digne,12,0,1071,0,2,4,0,0.5,81.4,0,1.8,6.96,LB,1993-07-20,€15.5M,€80K,left,200458,2,12,2022-01-13,2026,https://cdn.sofifa.net/flags/fr.png,https://cdn.futbin.com/content/fifa24/img/players/200458.png,1.9,0.3,1.3,0.1,0.8,0.9,1.8,1.4,1.1,0.6,2,0.7,0,0,43,81.4,1.9,0.6,0,Aston Villa
Matty Cash,12,0,1027,2,1,3,0,1.6,86.4,1,0.3,6.95,"RB,RWB",1997-08-07,€20M,€73K,right,227174,2,2,2020-09-03,2027,https://cdn.sofifa.net/flags/pl.png,https://cdn.futbin.com/content/fifa24/img/players/227174.png,0.4,0.4,1,0,0.3,1,2.3,0.8,0.9,0.9,1.8,1.3,0.4,1,35.5,86.4,0.3,1,0,Aston Villa
Boubacar Kamara,12,0,1017,0,0,4,0,0.3,90.3,0,0.9,6.77,"CDM,CM",1999-11-23,€29M,€69K,right,236987,2,44,2022-07-01,2027,https://cdn.sofifa.net/flags/fr.png,https://cdn.futbin.com/content/fifa24/img/players/236987.png,1.2,0.6,1.7,0,0.4,0.8,2.3,0.8,1.8,0,0.8,1.3,0.3,0,52.7,90.3,0,2.3,0.1,Aston Villa
Ezri Konsa,12,0,1080,0,0,2,0,0.5,93.4,0,0.6,6.71,CB,1997-10-23,€20.5M,€73K,right,227678,2,4,2019-07-11,2028,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/227678.png,0.2,0.5,1.5,0,0.3,0.5,1.4,0.9,0.5,1.3,2.7,0.1,0.8,0,60.6,93.4,0,1.5,0.1,Aston Villa
Leon Bailey,2,8,344,3,3,1,0,1.1,74.6,1,0.4,6.70,"RM,ST,RW",1997-08-09,€21M,€80K,left,229906,2,31,2021-08-04,2025,https://cdn.sofifa.net/flags/jm.png,https://cdn.futbin.com/content/fifa24/img/players/229906.png,0.9,1,0.4,0,0.7,0.7,0,0.5,0.6,0,0.1,0.2,0,0,14.2,74.6,0.5,0.9,0,Aston Villa
