name,starting_apps,sub_apps,mins,goals,asists,yel,red,shots_per_game,pass_accuracy,motm,aerial_duels_won,rating,positions,dob,value,wage,preferred_foot,profile_id,club_id,kit_number,joined,contract_valid_until,flag,image,key_passes,dribbles,fouled,offsides,possession_lost,bad_touch,tackles,interceptions,fouls,offsides_won,clearances,dribbled_past,blocks,own_goals,pass_per_game,accuracy,crosses,long_balls,through_balls,team_name
Neto,10,0,900,0,0,3,0,0,59.3,2,0.3,6.89,GK,1989-07-19,€4.6M,€37K,right,194404,1943,1,2022-08-07,2026,https://cdn.sofifa.net/flags/br.png,https://cdn.futbin.com/content/fifa24/img/players/194404.png,0,0.1,0,0,0,0,0,0.1,0.1,0,1.1,0,0,0,29.7,59.3,0,5.3,0,Bournemouth
Dominic Solanke,12,0,1070,6,1,1,0,2.8,80.1,1,1.4,6.79,ST,1997-09-14,€7.5M,€44K,right,225539,1943,9,2019-01-04,2027,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/225539.png,1,0.9,0.9,0.4,2.8,3.9,0.4,0.2,1.1,0,1.3,0.1,0.1,0,13.8,80.1,0.3,0.2,0,Bournemouth
Marcus Tavernier,8,1,625,0,1,0,0,1.1,80,0,0.2,6.76,"LM,RM,CAM",1999-03-22,€8M,€37K,left,237477,1943,16,2022-08-01,2027,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/237477.png,0.9,2.4,0.8,0.1,1.6,1.4,2,0.2,0.6,0.1,0.4,0.6,0.1,0,21.1,80,0.4,0.6,0,Bournemouth
Philip Billing,11,0,936,1,1,2,0,1.6,80.6,0,1.6,6.71,"CM,CAM",1996-06-11,€12M,€47K,left,220714,1943,29,2019-07-29,2027,https://cdn.sofifa.net/flags/dk.png,https://cdn.futbin.com/content/fifa24/img/players/220714.png,1.1,0.5,0.9,0,1.1,1.7,2.5,1.2,1,0,1.9,1.1,0.5,0,27.6,80.6,0.3,1.1,0,Bournemouth
Luis Sinisterra,0,5,120,1,0,0,0,1.2,79.5,0,0.4,6.59,"LM,RM,CAM",1999-06-17,€20M,€41K,right,233500,1943,17,undefined,"jun 30, 2024",https://cdn.sofifa.net/flags/co.png,https://cdn.futbin.com/content/fifa24/img/players/233500.png,0.8,0.8,0.4,0,0,0.8,1.2,0.4,1.2,0,0,0.4,0,0,8.8,79.5,0,0.2,0,Bournemouth
Antoine Semenyo,5,4,426,2,0,1,0,2,76,1,0.9,6.57,ST,2000-01-07,€3.6M,€23K,right,241236,1943,24,2023-01-27,2027,https://cdn.sofifa.net/flags/gh.png,https://cdn.futbin.com/content/fifa24/img/players/241236.png,0.4,1.1,0.3,0,1.7,1.1,0.8,0.2,1.2,0,0.1,0,0,0,11.6,76,0.2,0,0,Bournemouth
Lewis Cook,7,1,615,0,0,1,1,0.3,84.9,0,0.9,6.53,"CM,CDM",1997-02-03,€5M,€39K,right,224294,1943,4,2016-07-08,2025,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/224294.png,0.8,0.6,0.6,0,0.5,0.5,1.8,2.4,1.1,0,0.5,0.8,0.4,0,39.6,84.9,0.4,1,0,Bournemouth
Ryan Christie,11,1,880,0,1,0,0,0.9,80.1,0,0.3,6.48,"RM,RW",1995-02-12,€4.2M,€41K,left,213884,1943,10,2021-08-31,2024,https://cdn.sofifa.net/flags/gb-sct.png,https://cdn.futbin.com/content/fifa24/img/players/213884.png,1.2,0.9,0.9,0.2,1.1,1.4,1.6,0.8,1.1,0,0.7,1.1,0.1,0,25.1,80.1,0.4,1.5,0,Bournemouth
Alex Scott,3,0,191,0,0,1,0,0.7,80.5,0,0.7,6.45,"CM,CAM",2003-08-21,€5.5M,€18K,right,261299,1943,14,2023-08-10,2028,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/261299.png,0.3,1.7,1.7,0,0,0.7,0.3,0.7,0.7,0,0.3,0.7,0.3,0,25.7,80.5,0.3,0.3,0,Bournemouth
Max Aarons,11,1,952,0,1,1,0,0.1,74.1,0,0.3,6.35,RB,2000-01-04,€4.3M,€28K,right,240060,1943,37,2023-08-10,2027,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/240060.png,0.5,0.8,1.8,0.2,0.5,0.8,2,0.4,0.8,0.3,1.3,0.9,0.4,0,28.3,74.1,0.3,1.3,0.1,Bournemouth
