name,starting_apps,sub_apps,mins,goals,asists,yel,red,shots_per_game,pass_accuracy,motm,aerial_duels_won,rating,positions,dob,value,wage,preferred_foot,profile_id,club_id,kit_number,joined,contract_valid_until,flag,image,key_passes,dribbles,fouled,offsides,possession_lost,bad_touch,tackles,interceptions,fouls,offsides_won,clearances,dribbled_past,blocks,own_goals,pass_per_game,accuracy,crosses,long_balls,through_balls,team_name
Bryan Mbeumo,12,0,1080,6,2,1,0,2.8,75.6,2,1.3,7.23,"RW,ST",1999-08-07,€19M,€53K,left,243014,1925,19,2019-08-05,2026,https://cdn.sofifa.net/flags/cm.png,https://cdn.futbin.com/content/fifa24/img/players/243014.png,1.6,0.9,1.4,0.1,1.5,2.4,0.9,0.3,1.3,0,0.5,0.8,0,0,31.4,75.6,1.9,0.9,0.2,Brentford
Ethan Pinnock,12,0,1080,1,0,0,0,0.8,85.6,1,4.9,7.18,CB,1993-05-29,€14.5M,€56K,left,238717,1925,5,2019-07-02,2027,https://cdn.sofifa.net/flags/jm.png,https://cdn.futbin.com/content/fifa24/img/players/238717.png,0.3,0.3,0.3,0,0.1,0.3,1.3,1.7,0,0.5,6.4,0.6,0.8,0,55,85.6,0,2.7,0,Brentford
Thomas Strakosha,1,1,135,0,0,0,0,0,71.2,0,0.5,7.05,GK,1995-03-19,€3.3M,€34K,right,212151,1925,21,2022-07-14,2026,https://cdn.sofifa.net/flags/al.png,https://cdn.futbin.com/content/fifa24/img/players/212151.png,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,33,71.2,0,8,0,Brentford
Yoane Wissa,12,0,998,3,1,1,0,2.6,71.4,1,1.6,7.05,"LW,ST",1996-09-03,€11.5M,€57K,right,234824,1925,11,2021-08-10,2026,https://cdn.sofifa.net/flags/cd.png,https://cdn.futbin.com/content/fifa24/img/players/234824.png,0.8,1.1,1.7,0.5,0.5,1.9,0.8,0.4,1.2,0.2,0.5,0.6,0.2,0,14,71.4,0.1,0.2,0,Brentford
Mathias Jensen,12,0,914,3,2,2,0,0.6,78.9,1,0.2,7.04,CM,1996-01-01,€8M,€49K,right,229723,1925,8,2019-07-10,2026,https://cdn.sofifa.net/flags/dk.png,https://cdn.futbin.com/content/fifa24/img/players/229723.png,1.7,0.6,0.9,0,0.7,1.4,2,0.7,1.3,0,0.9,2,0.2,0,34,78.9,1.3,2.3,0.2,Brentford
Christian Nørgaard,12,0,1033,1,1,4,0,1.7,80.7,0,1.7,6.91,CDM,1994-03-10,€9M,€50K,right,210697,1925,6,2019-06-11,2025,https://cdn.sofifa.net/flags/dk.png,https://cdn.futbin.com/content/fifa24/img/players/210697.png,1,0.3,1.3,0.1,0.4,0.7,2.5,1.3,1.4,0,1.9,1.8,0.2,0,50,80.7,0.2,2.3,0.2,Brentford
Nathan Collins,11,1,999,1,1,2,0,0.4,85.3,0,2.8,6.90,"CB,RB",2001-04-30,€14M,€38K,right,248484,1925,22,2023-07-04,2029,https://cdn.sofifa.net/flags/ie.png,https://cdn.futbin.com/content/fifa24/img/players/248484.png,0.3,0.6,0.3,0.1,0.3,0.7,1.2,1.5,0.3,0.3,4.8,0.3,0.3,0,57.3,85.3,0,2.2,0.1,Brentford
Rico Henry,5,0,402,0,1,1,0,0.4,84.6,0,0.8,6.72,"LB,LWB",1997-07-08,€15.5M,€48K,left,224494,1925,3,2016-08-31,2026,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/224494.png,1,1.4,1.2,0.4,1.4,1.6,1.4,1,0.8,0,1,0.2,0.6,0,31.2,84.6,0.4,1.6,0,Brentford
Vitaly Janelt,12,0,935,0,1,2,0,0.7,79.2,0,0.9,6.62,"CDM,CM",1998-05-10,€9.5M,€42K,left,235167,1925,27,2020-10-03,2026,https://cdn.sofifa.net/flags/de.png,https://cdn.futbin.com/content/fifa24/img/players/235167.png,1.1,0.1,0.7,0.1,0.3,0.6,1.3,0.5,0.7,0,1.2,1.3,0.1,0,30.8,79.2,0.2,1.6,0.2,Brentford
Neal Maupay,2,5,265,1,2,2,0,1.9,73.1,1,0.1,6.61,ST,1996-08-14,€5M,€36K,right,211784,1925,7,undefined,"jun 30, 2024",https://cdn.sofifa.net/flags/fr.png,https://cdn.futbin.com/content/fifa24/img/players/211784.png,0.6,0.1,0.9,0,0.7,0.6,0.3,0.1,0.4,0,0.1,0.1,0,0,9.6,73.1,0.1,0.1,0.1,Brentford
