name,starting_apps,sub_apps,mins,goals,asists,yel,red,shots_per_game,pass_accuracy,motm,aerial_duels_won,rating,positions,dob,value,wage,preferred_foot,profile_id,club_id,kit_number,joined,contract_valid_until,flag,image,key_passes,dribbles,fouled,offsides,possession_lost,bad_touch,tackles,interceptions,fouls,offsides_won,clearances,dribbled_past,blocks,own_goals,pass_per_game,accuracy,crosses,long_balls,through_balls,team_name
Solly March,7,0,559,3,1,1,0,2,81.4,1,0.9,7.43,RM,1994-07-20,€17.5M,€87K,left,206594,1808,7,2013-07-01,2026,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/206594.png,1,1.1,1.1,1,1.4,1.1,2.7,1.6,1.7,0,1.1,0.9,0,0,31.6,81.4,1,0.6,0.1,Brighton
Julio Enciso,1,1,69,0,2,1,0,2,70.8,0,0,7.35,,,,,,,,,,,,,1,3,1.5,0.5,0,0.5,0,0,0,0,0,0.5,0,0,12,70.8,0,0.5,0,Brighton
Pascal Groß,10,0,890,2,1,1,0,1.5,89.7,1,0.4,7.01,"CM,CDM,RB",1991-06-15,€11M,€76K,right,190765,1808,13,2017-07-01,2025,https://cdn.sofifa.net/flags/de.png,https://cdn.futbin.com/content/fifa24/img/players/190765.png,2.2,0.7,0.6,0,0.7,1.1,1.2,0.5,0.8,0,0.3,1.2,0.1,0,81.9,89.7,1.6,3.1,0,Brighton
Kaoru Mitoma,10,2,981,3,3,3,0,1.8,84.6,1,0.3,6.94,LM,1997-05-20,€25M,€88K,right,255565,1808,22,2021-08-10,2025,https://cdn.sofifa.net/flags/jp.png,https://cdn.futbin.com/content/fifa24/img/players/255565.png,1.4,2.2,1.4,0.5,0.6,1.7,0.6,0.3,0.8,0,0.3,0.7,0,0,28.7,84.6,0.3,0.3,0,Brighton
Pervis Estupiñán,6,0,496,1,3,2,0,1.3,86.9,1,1,6.92,LB,1998-01-21,€24.5M,€77K,left,237942,1808,30,2022-08-16,2027,https://cdn.sofifa.net/flags/ec.png,https://cdn.futbin.com/content/fifa24/img/players/237942.png,2.2,0.3,0.7,0.2,0.3,1.7,1.2,1.3,1.5,0.2,1.2,0.8,0.2,1,48.2,86.9,1,1,0,Brighton
Simon Adingra,7,4,666,3,1,1,0,0.9,82.6,2,0.4,6.89,"LM,ST",2002-01-01,€7M,€40K,right,260779,1808,24,2022-07-01,2026,https://cdn.sofifa.net/flags/ci.png,https://cdn.futbin.com/content/fifa24/img/players/260779.png,0.5,1.5,0.6,0.4,0.5,1.3,1.4,0.9,0.9,0,0.5,0.9,0,0,19.4,82.6,0.3,0.8,0.2,Brighton
Lewis Dunk,11,0,990,1,0,3,0,1.3,91.5,0,2,6.77,CB,1991-11-21,€17.5M,€86K,right,199915,1808,5,2010-04-30,2026,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/199915.png,0.3,0.3,0.3,0.1,0.1,0.6,1,0.8,0.6,0.5,2.5,0.7,1,0,104,91.5,0.1,5.7,0.1,Brighton
Evan Ferguson,7,4,582,5,0,0,0,1.6,88,1,0.4,6.68,ST,2004-10-19,€10M,€26K,right,259608,1808,28,2021-01-09,2028,https://cdn.sofifa.net/flags/ie.png,https://cdn.futbin.com/content/fifa24/img/players/259608.png,0.4,0.3,1.2,0.4,1.6,1.7,0.4,0.1,1.1,0.1,0.3,0.5,0.1,0,11.4,88,0,0.2,0,Brighton
João Pedro,4,8,582,2,1,1,0,1.4,80.9,1,0.9,6.66,ST,1993-04-22,€2.3M,€20K,right,240290,112393,19,2023-09-06,2025,https://cdn.sofifa.net/flags/br.png,https://cdn.futbin.com/content/fifa24/img/players/240290.png,1.1,1,2,0.3,1.7,1.4,0.8,0.3,0.4,0,0.7,0.4,0,0,16.2,80.9,0.2,0.4,0.1,Brighton
Jan Paul van Hecke,5,2,478,0,0,1,0,0.3,94.2,0,1.6,6.63,CB,2000-06-08,€3.5M,€33K,right,258908,1808,29,2020-09-10,2026,https://cdn.sofifa.net/flags/nl.png,https://cdn.futbin.com/content/fifa24/img/players/258908.png,0,0.1,0.4,0,0.1,0.1,1.1,1,0,0.6,2.1,0.9,1.4,0,79.1,94.2,0,1.1,0,Brighton
Danny Welbeck,7,1,415,1,0,1,0,1.1,86.3,0,0.3,6.50,ST,1990-11-26,€6M,€72K,right,186146,1808,18,2020-10-18,2024,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/186146.png,0.6,0.1,0.9,0.1,1,1.8,0.9,0.3,0.5,0,0.8,0.1,0,0,14.6,86.3,0,0,0,Brighton
Tariq Lamptey,1,3,138,0,2,2,0,0.3,88.4,0,0,6.50,"RB,RWB",2000-09-30,€8M,€49K,right,242418,1808,2,2020-01-31,2025,https://cdn.sofifa.net/flags/gh.png,https://cdn.futbin.com/content/fifa24/img/players/242418.png,0.5,1.3,0.8,0,0.3,0.5,0.8,0.5,0.8,0,0,0.8,0,0,21.5,88.4,0,0.8,0,Brighton
Billy Gilmour,7,4,618,0,1,2,0,0.7,93.1,0,0.2,6.46,"CDM,CM",2001-06-11,€5M,€37K,right,245992,1808,27,2022-09-01,2026,https://cdn.sofifa.net/flags/gb-sct.png,https://cdn.futbin.com/content/fifa24/img/players/245992.png,1,0.2,1,0,0.3,0.5,0.8,0.1,0.7,0,0.4,1.2,0.2,0,53.9,93.1,0.4,1.7,0.3,Brighton
Joël Veltman,6,6,685,0,1,1,0,0.2,84.7,0,0.6,6.43,"RB,CB",1992-01-15,€10M,€69K,right,208004,1808,34,2020-07-29,2025,https://cdn.sofifa.net/flags/nl.png,https://cdn.futbin.com/content/fifa24/img/players/208004.png,0.2,0.1,2,0,0.3,0.7,2,0.6,0.9,0.2,1.7,0.8,0.4,0,28.9,84.7,0,1.3,0,Brighton
Ansu Fati,1,7,269,2,0,1,0,1.5,87.8,0,0.1,6.42,"LW,ST",2002-10-31,€31M,€95K,right,253004,1808,31,undefined,"jun 30, 2024",https://cdn.sofifa.net/flags/es.png,https://cdn.futbin.com/content/fifa24/img/players/253004.png,0.4,0.3,1,0.1,0.5,0.5,0.3,0,0.5,0,0.3,0.8,0,0,12.3,87.8,0,0.6,0.1,Brighton
Facundo Buonanotte,2,2,122,0,1,1,0,0.8,82.5,0,0.3,6.40,"RM,CAM",2004-12-23,€3.2M,€11K,left,269495,1808,40,2023-01-01,2026,https://cdn.sofifa.net/flags/ar.png,https://cdn.futbin.com/content/fifa24/img/players/269495.png,0.5,0.3,1.5,0,1.3,2,0.8,0.5,1,0,0.3,0.3,0,0,10,82.5,0,0.3,0,Brighton
James Milner,5,2,355,0,0,2,0,0,85.5,0,0.4,6.37,"CM,RB",1986-01-04,€3.3M,€52K,right,138412,1808,6,2023-07-01,2024,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/138412.png,0.4,0.1,0.6,0.1,0.3,0.6,1.1,0.7,1.1,0.4,1.4,0.3,0,0,30.6,85.5,0.1,1.3,0.1,Brighton
Mahmoud Dahoud,5,3,408,0,1,1,1,0.5,87.3,0,0,6.37,"CM,CDM",1996-01-01,€15M,€76K,right,218339,1808,8,2023-07-01,2027,https://cdn.sofifa.net/flags/de.png,https://cdn.futbin.com/content/fifa24/img/players/218339.png,1.3,0.1,0.3,0,0.5,0.5,1.1,0.1,0.8,0,0.5,0.8,0.1,0,36.5,87.3,0.1,1,0.1,Brighton
Adam Webster,6,0,540,0,0,1,0,0.5,90.2,0,2.5,6.32,CB,1995-01-04,€13.5M,€72K,right,207616,1808,4,2019-08-03,2026,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/207616.png,0.2,0,0.2,0,0,0.3,1.5,0.8,0.5,0.2,3.7,1.3,0.5,1,88.7,90.2,0,3.2,0,Brighton
Carlos Baleba,3,3,267,0,0,2,0,0.8,91.6,0,1,6.30,CM,2004-01-03,€3.3M,€18K,left,272500,1808,20,2023-08-29,2028,https://cdn.sofifa.net/flags/cm.png,https://cdn.futbin.com/content/fifa24/img/players/272500.png,0.2,0.3,0.5,0,0.5,0.7,2.3,1,1.2,0,0.5,1.2,0.3,0,21.8,91.6,0,0.8,0,Brighton
Igor Julio,4,1,334,0,0,1,0,0.2,93.1,0,1.4,6.30,,,,,,,,,,,,,0.4,0.2,0,0,0.4,0.6,0.8,0.6,1.2,0,1.4,0.2,0.2,0,66.6,93.1,0,0.6,0,Brighton
Bart Verbruggen,5,0,450,0,0,0,0,0,86.1,0,0.2,6.27,GK,2002-08-18,€10.5M,€30K,right,258498,1808,1,2023-07-03,2028,https://cdn.sofifa.net/flags/nl.png,https://cdn.futbin.com/content/fifa24/img/players/258498.png,0,0.2,0.2,0,0,0,0,0,0,0,0.4,0,0,0,43.2,86.1,0,5.2,0,Brighton
Jason Steele,7,0,630,0,0,0,0,0,86.6,0,0.1,6.27,GK,1990-08-18,€925K,€31K,right,188836,1808,23,2018-06-21,2025,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/188836.png,0,0,0.1,0,0,0,0,0,0,0,0.4,0.1,0,0,38.3,86.6,0,4.1,0,Brighton
Adam Lallana,4,3,263,0,0,1,0,0,92.1,0,0.1,6.24,"CAM,CM,CDM",1988-05-10,€3.1M,€49K,right,180819,1808,14,2020-07-27,2024,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/180819.png,0.9,0.3,0.6,0,0.7,0.9,0.4,0.1,0.4,0,0.1,0.4,0,0,23.4,92.1,0.1,0,0.1,Brighton
Jack Hinshelwood,1,0,86,0,0,0,0,0,88.2,0,0,5.79,CDM,2005-04-11,€600K,€3K,right,277283,1808,41,2022-07-01,2026,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/277283.png,2,0,1,0,0,0,0,3,2,0,0,3,0,0,51,88.2,0,0,0,Brighton
