name,starting_apps,sub_apps,mins,goals,asists,yel,red,shots_per_game,pass_accuracy,motm,aerial_duels_won,rating,positions,dob,value,wage,preferred_foot,profile_id,club_id,kit_number,joined,contract_valid_until,flag,image,key_passes,dribbles,fouled,offsides,possession_lost,bad_touch,tackles,interceptions,fouls,offsides_won,clearances,dribbled_past,blocks,own_goals,pass_per_game,accuracy,crosses,long_balls,through_balls,team_name
Jóhann Gudmundsson,6,1,435,0,1,2,0,0.6,86.4,0,0.6,6.59,,,,,,,,,,,,,1.7,0.3,1,0,0.4,1.3,0.7,1.1,0.7,0,0.7,0.4,0,0,25.3,86.4,1.7,1.4,0.1,Burnley
Zeki Amdouni,11,0,750,1,0,1,0,1.7,83.5,0,0.6,6.59,"ST,CAM",2000-12-04,€9.5M,€37K,right,262642,1796,25,2023-07-19,2028,https://cdn.sofifa.net/flags/ch.png,https://cdn.futbin.com/content/fifa24/img/players/262642.png,0.4,1.4,1.8,0.1,0.8,2.3,1.2,0.3,0.6,0.2,0.4,0.5,0.3,0,15.5,83.5,0,0.6,0.2,Burnley
Josh Brownhill,8,3,781,2,0,1,0,0.9,79.4,0,0.8,6.57,"CM,CAM,CDM",1995-12-19,€6.5M,€42K,right,220659,1796,8,2020-01-30,2024,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/220659.png,1.1,0.1,0.8,0.1,0.5,0.5,1.5,1,1.1,0,1.3,0.3,0.2,0,31.7,79.4,0.5,1.3,0,Burnley
Lyle Foster,7,0,611,3,2,0,1,1.4,71.5,0,2.1,6.56,"ST,RM",2000-09-03,€3.2M,€20K,right,241173,1796,17,2023-01-25,2027,https://cdn.sofifa.net/flags/za.png,https://cdn.futbin.com/content/fifa24/img/players/241173.png,0.9,0.6,0.7,1,1.6,3.6,1,0.1,1.4,0.1,1.6,0.6,0.1,0,19.6,71.5,0,0.9,0,Burnley
Jordan Beyer,8,0,682,0,0,3,0,0.1,90.5,0,1.9,6.51,CB,2000-05-19,€10.5M,€33K,right,242660,1796,5,2023-05-10,2027,https://cdn.sofifa.net/flags/de.png,https://cdn.futbin.com/content/fifa24/img/players/242660.png,0.3,0.3,0.5,0,0.1,0.4,2.6,1.4,0.6,0.4,4.6,0.9,0.9,0,63.1,90.5,0,2.9,0,Burnley
Dara O'Shea,7,1,675,0,1,0,0,0.4,83.5,0,3.1,6.49,"CB,RB",1999-03-04,€3.4M,€25K,right,235405,1796,2,2023-06-23,2027,https://cdn.sofifa.net/flags/ie.png,https://cdn.futbin.com/content/fifa24/img/players/235405.png,0.4,0,0.4,0,0,0.3,0.8,1.8,0.9,0.6,4.5,0.4,1.4,0,63.6,83.5,0.1,3.5,0,Burnley
Wilson Odobert,2,3,162,1,0,1,0,1.2,84.1,0,0,6.48,"LW,LM,RM",2004-11-28,€2.8M,€8K,right,270579,1796,47,2023-08-12,2028,https://cdn.sofifa.net/flags/fr.png,https://cdn.futbin.com/content/fifa24/img/players/270579.png,0.8,1.2,0.4,0,0.2,1,0.6,0,0.2,0,0.2,0.4,0,0,8.8,84.1,0,0,0,Burnley
Josh Cullen,10,0,841,0,1,5,0,0.3,85.9,1,0.7,6.46,"CDM,CM",1996-04-07,€8M,€40K,right,228151,1796,24,2022-07-12,2026,https://cdn.sofifa.net/flags/ie.png,https://cdn.futbin.com/content/fifa24/img/players/228151.png,0.6,0.1,2.3,0,0.5,0.3,1.6,0.7,1.3,0,1.1,0.7,0.7,0,52.5,85.9,0.1,1.4,0.2,Burnley
James Trafford,12,0,1080,0,0,1,0,0,70.8,0,0.8,6.45,GK,2002-10-10,€4M,€14K,right,263063,1796,1,2023-07-20,2028,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/263063.png,0,0,0.3,0,0,0,0.2,0.1,0,0,1.1,0,0,0,48.5,70.8,0,6.7,0,Burnley
Charlie Taylor,9,0,810,1,0,3,0,0.7,81.2,0,1.8,6.44,"CB,LB",1993-09-18,€2.5M,€34K,left,204760,1796,3,2017-07-06,2024,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/204760.png,0.3,0.4,0.6,0,0.4,1.1,1.3,0.8,1.1,0.3,2.3,0.8,0.7,0,45,81.2,0.2,3.2,0,Burnley
