name,starting_apps,sub_apps,mins,goals,asists,yel,red,shots_per_game,pass_accuracy,motm,aerial_duels_won,rating,positions,dob,value,wage,preferred_foot,profile_id,club_id,kit_number,joined,contract_valid_until,flag,image,key_passes,dribbles,fouled,offsides,possession_lost,bad_touch,tackles,interceptions,fouls,offsides_won,clearances,dribbled_past,blocks,own_goals,pass_per_game,accuracy,crosses,long_balls,through_balls,team_name
Conor Gallagher,12,0,1037,0,4,1,0,1,90.7,0,0.7,7.27,"CM,CDM",2000-02-06,€21M,€81K,right,238216,5,23,2017-02-07,2025,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/238216.png,1.6,1.1,1.4,0.1,0.8,1.9,2.8,1.6,2.2,0,0.6,1.3,0.2,0,53.8,90.7,0.4,1.7,0.2,Chelsea
Raheem Sterling,11,1,993,4,1,3,0,2,78.5,2,0.1,7.10,"LW,RW,ST",1994-12-08,€36.5M,€155K,right,202652,5,7,2022-07-13,2027,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/202652.png,1.3,2.4,1.9,0.5,1.7,1.8,0.9,0.3,1,0,0.2,0.8,0,0,27.5,78.5,0.5,0.1,0.1,Chelsea
Nicolas Jackson,9,2,850,6,0,7,0,3,79.5,1,0.9,6.99,ST,2001-06-20,€29M,€89K,right,259197,5,15,2023-07-01,2027,https://cdn.sofifa.net/flags/sn.png,https://cdn.futbin.com/content/fifa24/img/players/259197.png,0.7,1.7,0.8,0.7,1.8,3,0.5,0.2,0.9,0,0.6,0.5,0.2,0,17.3,79.5,0,0.1,0,Chelsea
Cole Palmer,6,3,595,4,2,3,0,2.1,83.8,0,0,6.98,"RW,CAM",2002-05-06,€2.5M,€23K,left,257534,5,20,2023-09-01,2030,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/257534.png,1.6,0.9,0.9,0.2,1.7,1.7,0.6,0.7,0.7,0,0.1,0.4,0,0,37,83.8,0.2,2.2,0.6,Chelsea
Thiago Silva,12,0,1080,1,0,2,0,0.5,95.6,0,2,6.85,CB,1984-09-22,€7.5M,€100K,right,164240,5,6,2020-08-28,2024,https://cdn.sofifa.net/flags/br.png,https://cdn.futbin.com/content/fifa24/img/players/164240.png,0.3,0.1,0.3,0,0,0.2,1.1,0.9,0.4,0.3,3.8,0.4,0.8,0,80.1,95.6,0,4.3,0,Chelsea
Levi Colwill,11,0,936,0,1,1,0,0.5,82.8,1,2.5,6.83,"CB,LB",2003-02-26,€8.5M,€47K,left,262859,5,26,2020-02-26,2029,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/262859.png,0.4,0.4,0.6,0.4,0.3,1.1,1.7,1.1,0.8,0.2,2.5,0.2,0.5,0,54.9,82.8,0,2.3,0.1,Chelsea
Enzo Fernández,11,0,901,0,0,3,0,1.9,89.6,0,0.6,6.82,"CM,CDM,CAM",2001-01-17,€58M,€120K,right,247090,5,8,2023-01-31,2031,https://cdn.sofifa.net/flags/ar.png,https://cdn.futbin.com/content/fifa24/img/players/247090.png,1.3,0.7,1.5,0.2,1.2,1,1.6,0.4,1,0,0.6,1.5,0.5,0,65.4,89.6,0.5,4.7,0.5,Chelsea
Reece James,3,2,246,0,1,0,0,1,86.4,0,1,6.79,"RB,RWB",1999-12-08,€50.5M,€120K,right,238074,5,24,2017-03-03,2028,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/238074.png,1.4,0.6,0.2,0.2,0.6,1,1.8,0.2,0.2,0,0.8,0.4,0.2,0,32.4,86.4,0.8,1.8,0.4,Chelsea
Marc Cucurella,5,1,486,0,0,4,0,0.5,88.3,0,1.3,6.79,,,,,,,,,,,,,0.7,0.2,1.3,0.2,0.2,0.5,3.3,1.2,1.2,0.2,2.2,1.3,0.3,0,51.3,88.3,0,1.3,0,Chelsea
Ben Chilwell,4,2,338,0,1,3,0,1.2,77.2,0,1.2,6.63,"LB,LWB",1996-12-21,€31M,€105K,left,229984,5,21,2020-08-26,2027,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/229984.png,1.5,0.7,1.2,0.2,0.7,2.2,0.8,0.5,1,0,0.5,0.3,0,0,26.3,77.2,1.2,0.3,0,Chelsea
