name,starting_apps,sub_apps,mins,goals,asists,yel,red,shots_per_game,pass_accuracy,motm,aerial_duels_won,rating,positions,dob,value,wage,preferred_foot,profile_id,club_id,kit_number,joined,contract_valid_until,flag,image,key_passes,dribbles,fouled,offsides,possession_lost,bad_touch,tackles,interceptions,fouls,offsides_won,clearances,dribbled_past,blocks,own_goals,pass_per_game,accuracy,crosses,long_balls,through_balls,team_name
Eberechi Eze,8,1,750,2,1,2,0,3.2,85.9,1,0.8,7.45,"CAM,CM,LW",1998-06-29,€31M,€48K,right,235794,1799,10,2020-08-28,2025,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/235794.png,2.3,3.4,1.9,0.1,2.1,3,1.9,0.2,1.4,0,0.1,1,0.1,0,29.1,85.9,1.7,0.3,0.2,Crystal Palace
Joachim Andersen,12,0,1080,2,1,2,0,0.8,83.8,3,2.5,7.28,CB,1996-05-31,€15M,€39K,right,224221,1799,16,2021-07-28,2026,https://cdn.sofifa.net/flags/dk.png,https://cdn.futbin.com/content/fifa24/img/players/224221.png,0.8,0.6,0.8,0.1,0.1,0.3,1.4,1.1,0.9,0.7,6.1,0.3,0.8,0,62.3,83.8,0.4,6.5,0.1,Crystal Palace
Jordan Ayew,12,0,1015,1,3,4,0,1.8,80.7,2,1.6,7.02,"RM,LM",1991-09-11,€3.5M,€33K,right,197756,1799,9,2019-07-25,2024,https://cdn.sofifa.net/flags/gh.png,https://cdn.futbin.com/content/fifa24/img/players/197756.png,0.8,2.2,3.4,0.3,3,2.6,2.1,0.7,1.8,0,0.5,0.8,0.1,0,28.9,80.7,0.3,0.2,0,Crystal Palace
Jefferson Lerma,8,0,706,0,1,1,0,0.9,81.7,1,3.3,6.99,"CDM,CM",1994-10-25,€9.5M,€38K,right,213991,1799,8,2023-07-01,2026,https://cdn.sofifa.net/flags/co.png,https://cdn.futbin.com/content/fifa24/img/players/213991.png,1.4,0.4,1.4,0,0.5,0.6,1.4,2,1.3,0,2.3,0.8,0.1,0,45.8,81.7,0,1,0.1,Crystal Palace
Cheick Doucouré,10,0,868,0,0,2,0,0.6,86.8,0,0.5,6.87,"CDM,CM",2000-01-08,€19.5M,€34K,right,242619,1799,28,2022-07-11,2026,https://cdn.sofifa.net/flags/ml.png,https://cdn.futbin.com/content/fifa24/img/players/242619.png,0.8,0.9,0.1,0,0.8,1.6,3.3,1.9,0.9,0.1,0.9,1.1,0.2,0,38,86.8,0,0.6,0.1,Crystal Palace
Odsonne Édouard,11,0,949,5,0,2,0,2.8,70.3,0,1.4,6.85,,,,,,,,,,,,,0.8,0.8,0.9,0.5,1.4,2.5,1.3,0.3,1.4,0,1,0.8,0,0,15,70.3,0.1,0.1,0,Crystal Palace
Marc Guéhi,11,0,990,0,0,1,0,0.5,89.7,0,1.5,6.78,CB,2000-07-13,€26.5M,€34K,right,241159,1799,6,2021-07-18,2026,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/241159.png,0.2,0.5,1.4,0,0.2,0.4,1.3,0.8,0.7,0.6,4.9,0.6,1.1,0,61,89.7,0,4.4,0,Crystal Palace
Tyrick Mitchell,12,0,1060,1,1,2,0,0.3,76,0,0.3,6.74,LB,1999-09-01,€10.5M,€29K,left,240947,1799,3,2017-07-01,2025,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/240947.png,0.5,0.4,0.3,0,0.6,1.1,2.2,0.8,0.6,0.2,2.8,0.6,0.4,0,36.4,76,0.5,0.8,0,Crystal Palace
Will Hughes,8,1,680,0,0,2,0,0.3,86.8,0,0.2,6.58,"CM,CDM",1995-04-17,€4.2M,€34K,left,206516,1799,19,2021-08-28,2024,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/206516.png,1,0.6,0.8,0,1.9,0.9,2.1,0.6,1.1,0,1.4,0.9,0.6,0,33.6,86.8,0.6,0.3,0,Crystal Palace
Jeffrey Schlupp,11,0,767,1,0,0,0,0.7,73.4,0,1.2,6.57,"LM,CDM,CM",1992-12-23,€7M,€37K,left,200759,1799,15,2017-01-13,2024,https://cdn.sofifa.net/flags/gh.png,https://cdn.futbin.com/content/fifa24/img/players/200759.png,1,0.7,0.8,0,1.1,2.5,1.5,0.3,1,0,0.7,0.2,0.1,0,15.7,73.4,0,0.2,0,Crystal Palace
Sam Johnstone,12,0,1080,0,0,0,0,0,60.8,2,0,6.56,GK,1993-03-25,€5M,€28K,right,206075,1799,1,2022-07-01,2026,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/206075.png,0,0,0,0,0,0,0,0,0.1,0,0.7,0,0,0,25.1,60.8,0,6.6,0,Crystal Palace
