name,starting_apps,sub_apps,mins,goals,asists,yel,red,shots_per_game,pass_accuracy,motm,aerial_duels_won,rating,positions,dob,value,wage,preferred_foot,profile_id,club_id,kit_number,joined,contract_valid_until,flag,image,key_passes,dribbles,fouled,offsides,possession_lost,bad_touch,tackles,interceptions,fouls,offsides_won,clearances,dribbled_past,blocks,own_goals,pass_per_game,accuracy,crosses,long_balls,through_balls,team_name
Vitalii Mykolenko,8,0,718,2,0,1,0,1.1,73.7,1,0.8,7.31,,,,,,,,,,,,,0.5,0.8,0,0,0.5,1.1,4,1.8,1.3,0.8,3.3,1.4,0.4,0,31.4,73.7,0.4,1.8,0,Everton
Dwight McNeil,8,1,684,0,1,0,0,1.8,78.2,1,0.6,7.01,"LM,RM",1999-11-22,€11.5M,€33K,left,243282,7,7,2022-07-28,2027,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/243282.png,1.6,1,0.8,0.1,1.8,1.4,1.9,0.7,0.6,0,0.9,1.1,0.2,0,22.9,78.2,1.7,0.4,0.1,Everton
James Tarkowski,12,0,1080,1,1,2,0,0.8,77.6,1,3.3,7.00,CB,1992-11-19,€14.5M,€43K,right,202695,7,6,2022-07-02,2026,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/202695.png,0.7,0.4,0.4,0,0.4,0.1,1.3,1.5,1,0.7,3.7,0.4,1.7,0,39.5,77.6,0.1,5.2,0,Everton
James Garner,11,1,978,1,1,2,0,1.3,79.6,0,0.8,6.90,"CDM,CM,RM",2001-03-13,€6.5M,€24K,right,243657,7,37,2022-09-01,2026,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/243657.png,1.1,0.6,1.3,0.1,0.4,1.2,2.6,0.7,1.1,0,1.2,1.2,0.3,0,26.2,79.6,0.8,1.1,0.2,Everton
Jarrad Branthwaite,10,0,900,0,0,4,0,0.3,78.9,0,2.7,6.88,CB,2002-06-27,€5.5M,€18K,left,247649,7,32,2020-01-13,2025,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/247649.png,0.2,0.1,0.4,0.1,0,0.2,2.1,1.7,1.6,0.8,5.1,0.4,1,0,37.9,78.9,0.1,2.2,0,Everton
Jack Harrison,5,1,439,1,3,0,0,1,66.7,0,0.5,6.86,"LM,RM",1996-11-20,€9M,€42K,left,232080,7,11,undefined,"jun 30, 2024",https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/232080.png,1,0.7,1.5,0,1.3,3,1.5,0.3,1,0,1.2,1,0,0,13.5,66.7,0.7,0.2,0,Everton
Amadou Onana,11,0,924,0,0,1,0,1.3,85,0,2.6,6.85,"CDM,CM",2001-08-16,€14.5M,€25K,right,257057,7,8,2022-08-09,2027,https://cdn.sofifa.net/flags/be.png,https://cdn.futbin.com/content/fifa24/img/players/257057.png,0.7,0.4,2.1,0.1,0.3,0.9,2.5,0.5,1.3,0,0.9,0.8,0,0,40.7,85,0,2.5,0.2,Everton
Abdoulaye Doucouré,12,0,1040,4,0,3,0,1.7,82.3,0,0.8,6.83,CM,1993-01-01,€10M,€40K,right,208135,7,16,2020-09-08,2024,https://cdn.sofifa.net/flags/ml.png,https://cdn.futbin.com/content/fifa24/img/players/208135.png,1.3,1.2,0.2,0.3,1,2.9,1.5,0.7,1.8,0,0.6,0.9,0,0,29.6,82.3,0.1,0.6,0.1,Everton
Dominic Calvert-Lewin,7,2,579,3,0,0,0,1.7,52,1,4.4,6.79,ST,1997-03-16,€14M,€44K,right,221479,7,9,2016-08-31,2025,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/221479.png,0.4,0.6,0.2,0.3,1,2.4,0.1,0.1,0.9,0,0.7,0.2,0.1,0,13.7,52,0,0.2,0,Everton
Idrissa Gueye,8,1,677,1,0,2,0,0.8,87,0,0.1,6.62,"CDM,CM",1989-09-26,€5M,€37K,right,193474,7,27,2022-09-01,2024,https://cdn.sofifa.net/flags/sn.png,https://cdn.futbin.com/content/fifa24/img/players/193474.png,0.7,0.7,1.3,0,1,0.6,2.3,0.6,1.1,0,0.9,0.7,0.1,0,34.2,87,0.1,0.6,0.1,Everton
