name,starting_apps,sub_apps,mins,goals,asists,yel,red,shots_per_game,pass_accuracy,motm,aerial_duels_won,rating,positions,dob,value,wage,preferred_foot,profile_id,club_id,kit_number,joined,contract_valid_until,flag,image,key_passes,dribbles,fouled,offsides,possession_lost,bad_touch,tackles,interceptions,fouls,offsides_won,clearances,dribbled_past,blocks,own_goals,pass_per_game,accuracy,crosses,long_balls,through_balls,team_name
João Palhinha,9,1,825,2,0,5,0,1.2,83.5,2,1.3,7.06,,,,,,,,,,,,,0.2,0.3,2.1,0.1,1.1,0.9,5.2,1.7,1.7,0.1,1.6,2.2,0.2,0,39.5,83.5,0,3.1,0,Fulham
Aleksandar Mitrovic,0,1,32,0,0,0,0,2,50,0,2,6.95,,,,,,,,,,,,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,50,0,1,0,Fulham
Bernd Leno,12,0,1080,0,0,0,0,0,79.6,1,0.3,6.72,GK,1992-03-04,€13.5M,€70K,right,192563,144,17,2022-08-02,2025,https://cdn.sofifa.net/flags/de.png,https://cdn.futbin.com/content/fifa24/img/players/192563.png,0,0,0.3,0,0,0,0,0,0,0,0.4,0,0,0,36.8,79.6,0,5.5,0,Fulham
Antonee Robinson,11,0,990,0,1,4,0,0.2,76.7,0,1.5,6.72,"LB,LWB",1997-08-08,€8M,€58K,left,229348,144,33,2020-08-20,2024,https://cdn.sofifa.net/flags/us.png,https://cdn.futbin.com/content/fifa24/img/players/229348.png,0.8,1.2,0.9,0.2,0.6,1.5,2.3,2.1,1.5,0.6,2.4,1.5,0.1,2,41,76.7,0.7,2.5,0,Fulham
Kenny Tete,5,0,429,0,0,2,0,0.2,83.9,0,0.6,6.60,RB,1995-10-09,€8M,€60K,right,216266,144,2,2020-09-10,2024,https://cdn.sofifa.net/flags/nl.png,https://cdn.futbin.com/content/fifa24/img/players/216266.png,0.2,1,1.2,0,0.6,0.6,1.8,1.4,1.4,0.4,3.2,0.4,0.2,0,43.4,83.9,0.8,1.2,0,Fulham
Willian,9,2,780,1,0,1,0,1.8,84,1,0.5,6.58,"LM,RM",1988-08-09,€4.9M,€71K,right,180403,144,20,2022-09-01,2024,https://cdn.sofifa.net/flags/br.png,https://cdn.futbin.com/content/fifa24/img/players/180403.png,1.3,1.1,1.1,0.1,1.1,1.5,0.4,0.4,0.5,0,0.3,0.7,0,0,30.1,84,0.4,2,0.1,Fulham
Timothy Castagne,8,1,737,0,0,1,0,0.4,82.3,0,0.8,6.57,"RB,LB,RW",1995-12-05,€11M,€65K,right,222501,144,21,2023-08-29,2027,https://cdn.sofifa.net/flags/be.png,https://cdn.futbin.com/content/fifa24/img/players/222501.png,0.4,0.8,0.3,0,0.3,0.8,1.9,1.4,1.1,0,1.3,0.7,0.3,0,44.4,82.3,0.3,2,0,Fulham
Andreas Pereira,10,2,787,1,1,2,0,0.9,77.2,0,0.8,6.49,CAM,1996-01-01,€12M,€71K,right,208450,144,18,2022-07-11,2026,https://cdn.sofifa.net/flags/br.png,https://cdn.futbin.com/content/fifa24/img/players/208450.png,1.8,0.5,0.5,0.1,1.2,1.2,0.5,0.1,0.7,0,0.4,0.7,0.1,0,20.8,77.2,1.2,1.6,0.1,Fulham
Issa Diop,8,0,701,0,0,2,0,0.4,90.4,0,1.6,6.49,CB,1997-01-09,€16.5M,€69K,right,231633,144,31,2022-08-10,2027,https://cdn.sofifa.net/flags/fr.png,https://cdn.futbin.com/content/fifa24/img/players/231633.png,0,0,0.5,0,0.4,0.1,1.4,0.9,1,0.9,4.5,0.3,0.5,0,75.3,90.4,0,2.9,0.1,Fulham
Alex Iwobi,4,4,465,0,0,2,0,1.5,86,0,0.3,6.48,"RM,CM",1996-05-03,€8M,€66K,right,213655,144,22,2023-09-01,2028,https://cdn.sofifa.net/flags/ng.png,https://cdn.futbin.com/content/fifa24/img/players/213655.png,1,1.4,0.1,0.3,1.1,1.5,1,0.6,0.3,0.1,0.1,0.5,0,0,27.8,86,0,1.1,0.3,Fulham
