name,starting_apps,sub_apps,mins,goals,asists,yel,red,shots_per_game,pass_accuracy,motm,aerial_duels_won,rating,positions,dob,value,wage,preferred_foot,profile_id,club_id,kit_number,joined,contract_valid_until,flag,image,key_passes,dribbles,fouled,offsides,possession_lost,bad_touch,tackles,interceptions,fouls,offsides_won,clearances,dribbled_past,blocks,own_goals,pass_per_game,accuracy,crosses,long_balls,through_balls,team_name
Mohamed Salah,12,0,1047,10,4,1,0,3.2,77,4,0.3,7.54,RW,1992-06-15,€85.5M,€260K,left,209331,9,11,2017-07-01,2025,https://cdn.sofifa.net/flags/eg.png,https://cdn.futbin.com/content/fifa24/img/players/209331.png,2.2,0.8,1.1,0.4,1.7,1.9,0.8,0.1,0.3,0,0,0.7,0.1,0,31.2,77,0.3,0.7,0.3,Liverpool
Virgil van Dijk,10,0,838,0,2,1,1,1,91.7,1,5.1,7.35,CB,1991-07-08,€70.5M,€220K,right,203376,9,4,2018-01-01,2025,https://cdn.sofifa.net/flags/nl.png,https://cdn.futbin.com/content/fifa24/img/players/203376.png,0.6,0,0.2,0,0,0.1,1.3,1.4,0.5,0.7,5.3,0,1.3,0,71.1,91.7,0,5.3,0,Liverpool
Dominik Szoboszlai,12,0,1056,1,2,1,0,2,88.1,1,0.3,7.18,"CAM,CM",2000-10-25,€44.5M,€110K,right,236772,9,8,2023-07-02,2028,https://cdn.sofifa.net/flags/hu.png,https://cdn.futbin.com/content/fifa24/img/players/236772.png,2.3,1.1,1.2,0.2,0.9,1,1.2,0.6,1.1,0,0.8,1.9,0.1,0,61.1,88.1,1.2,2.6,0,Liverpool
Andy Robertson,8,0,720,1,0,1,0,0.3,86.8,0,1,7.11,,,,,,,,,,,,,2.4,0.1,0,0.3,0.1,0.6,1.9,1,0.8,0.1,2.4,0.9,0.4,0,61.5,86.8,2.1,2.1,0,Liverpool
Darwin Núñez,6,5,599,4,4,1,0,3.2,76.1,0,0.7,7.10,"ST,LW",1999-06-24,€48.5M,€120K,right,253072,9,9,2022-07-01,2028,https://cdn.sofifa.net/flags/uy.png,https://cdn.futbin.com/content/fifa24/img/players/253072.png,0.7,0.3,0.5,0.2,1,1.7,0.6,0,0.6,0,0.3,0.5,0.2,0,14.1,76.1,0,0.1,0,Liverpool
Alisson Becker,12,0,1080,0,0,1,0,0,83.6,0,0.4,6.88,,,,,,,,,,,,,0.1,0,0.1,0,0,0.3,0,0,0.1,0,1,0.1,0,0,36.1,83.6,0,3.9,0,Liverpool
Joël Matip,7,1,624,0,0,1,0,0.5,87.7,0,3.3,6.84,,,,,,,,,,,,,0.3,0,0.4,0.1,0.4,0.3,1.3,1,0.8,0.6,4.1,0.4,0.6,1,57.1,87.7,0,1.5,0,Liverpool
Kostas Tsimikas,3,2,269,0,2,0,0,0.2,86.4,0,0.8,6.84,,,,,,,,,,,,,1.2,0.2,0.4,0,0.4,1,1.2,0.2,1.4,0,0.4,0.6,0,0,35.4,86.4,2,0.8,0,Liverpool
Diogo Jota,7,4,586,4,0,1,1,2,77.3,0,1.1,6.82,"CF,LW",1996-12-04,€67.5M,€180K,right,224458,9,20,2020-09-19,2027,https://cdn.sofifa.net/flags/pt.png,https://cdn.futbin.com/content/fifa24/img/players/224458.png,1,1,1.1,0.1,0.8,2,0.7,0.3,1.1,0,0.4,0.7,0.1,0,19.2,77.3,0,0.5,0.1,Liverpool
Alexis Mac Allister,11,0,886,0,1,5,1,0.5,87.8,0,0.6,6.79,"CM,CAM,CDM",1998-12-24,€39.5M,€110K,right,239837,9,10,2023-06-14,2028,https://cdn.sofifa.net/flags/ar.png,https://cdn.futbin.com/content/fifa24/img/players/239837.png,0.7,0.8,1.5,0,1,0.7,2.5,1.3,1.9,0,0.6,1.7,0.4,0,64.7,87.8,0,2.2,0.1,Liverpool
