name,starting_apps,sub_apps,mins,goals,asists,yel,red,shots_per_game,pass_accuracy,motm,aerial_duels_won,rating,positions,dob,value,wage,preferred_foot,profile_id,club_id,kit_number,joined,contract_valid_until,flag,image,key_passes,dribbles,fouled,offsides,possession_lost,bad_touch,tackles,interceptions,fouls,offsides_won,clearances,dribbled_past,blocks,own_goals,pass_per_game,accuracy,crosses,long_balls,through_balls,team_name
Alfie Doughty,9,3,807,0,1,1,0,0.7,68.9,1,1.2,6.71,"LWB,RWB",1999-12-21,€3.5M,€25K,left,252483,1923,45,2022-06-20,2025,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/252483.png,2.1,0.8,0,0.1,0.2,0.7,1.4,0.7,0.8,0.2,1.1,1,0,0,21.2,68.9,2.2,1.5,0,Luton
Carlton Morris,12,0,1014,3,1,1,0,2.4,62.4,0,4.5,6.70,ST,1995-12-16,€2.5M,€34K,right,213152,1923,9,2022-07-06,2026,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/213152.png,0.7,0.9,0.8,0.5,1.8,1.8,0.3,0,1.5,0.1,1.3,0.3,0,0,21.5,62.4,0,0.5,0,Luton
Reece Burke,7,1,598,0,1,1,0,0.6,70.6,0,2.9,6.65,CB,1996-09-02,€1.8M,€22K,right,221456,1923,16,2021-07-01,2026,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/221456.png,0.8,0.1,0.8,0,0.4,1,1.5,0.9,0.8,0.3,3,0.6,0.8,0,24.6,70.6,0.1,1.8,0,Luton
Tom Lockyer,11,0,947,1,1,3,0,0.5,71.4,0,2.4,6.60,CB,1994-12-03,€3.6M,€37K,right,211363,1923,4,2020-09-01,2025,https://cdn.sofifa.net/flags/gb-wls.png,https://cdn.futbin.com/content/fifa24/img/players/211363.png,0.3,0.3,0.6,0,0.1,0.5,1.4,1.4,0.9,0.4,4.7,0.4,0.8,1,31.5,71.4,0,3.6,0,Luton
Chiedozie Ogbene,8,4,760,1,0,0,0,0.9,77.6,0,0.8,6.59,"CF,RWB",1997-05-01,€2M,€26K,right,231005,1923,7,2023-07-01,2026,https://cdn.sofifa.net/flags/ie.png,https://cdn.futbin.com/content/fifa24/img/players/231005.png,0.8,1.4,1.8,0.3,0.6,1.6,1,0.2,0.3,0,0.8,0.3,0.1,0,16.3,77.6,0.1,0.3,0,Luton
Ross Barkley,5,2,445,0,0,0,0,1.7,82.8,0,1.1,6.58,"CAM,CM",1993-12-05,€4.1M,€41K,right,199189,1923,6,2023-08-09,2024,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/199189.png,1,1.3,1.3,0,1.1,0.9,0.7,0.9,0.4,0,1.3,0.9,0.4,0,28.3,82.8,0.6,1.3,0,Luton
Issa Kaboré,9,2,781,0,1,4,0,0.5,71.8,1,0.7,6.56,"RWB,RB,RM",2001-05-12,€6.5M,€59K,right,253052,1923,12,undefined,"jun 30, 2024",https://cdn.sofifa.net/flags/bf.png,https://cdn.futbin.com/content/fifa24/img/players/253052.png,0.8,0.6,0.9,0,0.5,1.4,2.1,0.9,1.4,0,1.5,0.5,0.3,0,19.4,71.8,0.9,0.5,0,Luton
Thomas Kaminski,12,0,1080,0,0,1,0,0,44.2,0,0.2,6.56,GK,1992-10-23,€2.3M,€27K,right,188400,1923,24,2023-08-03,2026,https://cdn.sofifa.net/flags/be.png,https://cdn.futbin.com/content/fifa24/img/players/188400.png,0,0,0,0,0,0.1,0,0,0,0,1.1,0,0,0,31.1,44.2,0,8.8,0,Luton
Mads Andersen,4,2,373,1,0,1,0,0.5,75,0,1.7,6.56,,,,,,,,,,,,,0,0,0.3,0,0,0.8,0.8,1.3,0.8,0.2,4,0,0.8,0,18,75,0,1.2,0,Luton
Andros Townsend,2,2,172,0,0,0,0,0.8,72.1,0,0,6.55,,,,,,,,,,,,,0.5,0.8,0.3,0,0.8,1.8,2,0.5,0.8,0,0.5,0.5,0,0,10.8,72.1,1.3,0.3,0,Luton
