name,starting_apps,sub_apps,mins,goals,asists,yel,red,shots_per_game,pass_accuracy,motm,aerial_duels_won,rating,positions,dob,value,wage,preferred_foot,profile_id,club_id,kit_number,joined,contract_valid_until,flag,image,key_passes,dribbles,fouled,offsides,possession_lost,bad_touch,tackles,interceptions,fouls,offsides_won,clearances,dribbled_past,blocks,own_goals,pass_per_game,accuracy,crosses,long_balls,through_balls,team_name
Erling Haaland,12,0,1026,13,3,0,0,3.8,73.3,3,1.2,7.67,ST,2000-07-21,€185M,€340K,left,239085,10,9,2022-07-01,2027,https://cdn.sofifa.net/flags/no.png,https://cdn.futbin.com/content/fifa24/img/players/239085.png,1.2,0.3,1,0.1,0.6,1.4,0.1,0.1,0.6,0,0.4,0,0,0,11.3,73.3,0,0.3,0,Manchester City
Rodri,10,0,823,3,2,4,1,1.9,93.9,2,1.2,7.62,"CDM,CM",1996-06-22,€105.5M,€250K,right,231866,10,16,2019-07-04,2027,https://cdn.sofifa.net/flags/es.png,https://cdn.futbin.com/content/fifa24/img/players/231866.png,1.1,1.2,0.9,0.2,0.6,0.6,1.9,0.8,1.5,0,0.9,0.8,0.2,0,99.9,93.9,0,6.9,0.3,Manchester City
Jérémy Doku,7,2,556,2,5,2,0,1.8,83.5,3,0.1,7.59,"RM,RW",2002-05-27,€23.5M,€73K,right,246420,10,11,2023-08-24,2028,https://cdn.sofifa.net/flags/be.png,https://cdn.futbin.com/content/fifa24/img/players/246420.png,1.7,3.4,1.7,0.3,0.8,1.9,1.8,0.6,0.4,0,0.1,0.6,0,0,24.9,83.5,0.3,0.4,0,Manchester City
Phil Foden,10,2,923,3,3,1,0,2,86.8,2,0.3,7.30,"LW,RW",2000-05-28,€81.5M,€180K,left,237692,10,47,2016-12-06,2027,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/237692.png,2,1.8,1.6,0,1,2,1,0.7,0.7,0,0.4,0.4,0,0,37.8,86.8,0.5,0.8,0.3,Manchester City
Julián Álvarez,12,0,992,4,4,2,0,2.8,87,0,0.1,7.27,"ST,CF,CAM",2000-01-31,€33.5M,€115K,right,246191,10,19,2022-01-31,2028,https://cdn.sofifa.net/flags/ar.png,https://cdn.futbin.com/content/fifa24/img/players/246191.png,2.3,0.7,0.4,0,0.8,1.4,0.6,0.1,0.9,0,0.3,0.8,0,0,35.9,87,0.8,1.1,0.3,Manchester City
Bernardo Silva,8,1,729,3,3,2,0,0.7,91.9,0,0,7.24,"CM,RW",1994-08-10,€91.5M,€270K,left,218667,10,20,2017-07-01,2026,https://cdn.sofifa.net/flags/pt.png,https://cdn.futbin.com/content/fifa24/img/players/218667.png,2,0.7,0.6,0,1,1.2,1.2,0.1,0.4,0,0.1,0.7,0.2,0,56.1,91.9,0.7,2.7,0,Manchester City
Manuel Akanji,9,0,810,2,0,1,1,0.7,93.9,0,0.6,6.91,CB,1995-07-19,€30.5M,€130K,right,229237,10,25,2022-09-01,2027,https://cdn.sofifa.net/flags/ch.png,https://cdn.futbin.com/content/fifa24/img/players/229237.png,0.6,0.1,1,0,0.3,0.2,1.8,1,0.7,0.3,1.7,0.7,0.7,0,83.7,93.9,0,2.6,0.1,Manchester City
Kyle Walker,12,0,1080,0,1,1,0,0.4,89.1,0,0.8,6.79,RB,1990-05-28,€22M,€155K,right,188377,10,2,2017-07-14,2026,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/188377.png,1,0.6,0.9,0.1,0.3,0.7,1.3,0.5,1,0.3,1.2,0.6,0.2,0,67.4,89.1,0.4,2.8,0.1,Manchester City
Nathan Aké,6,3,554,2,0,0,0,0.9,92.3,0,1.4,6.76,"CB,LB",1995-02-18,€24.5M,€125K,left,208920,10,6,2020-08-05,2027,https://cdn.sofifa.net/flags/nl.png,https://cdn.futbin.com/content/fifa24/img/players/208920.png,0.3,0,0.7,0,0,0.1,1.1,0.6,0.3,0.3,1.2,0.2,0,0,47.3,92.3,0,0.6,0,Manchester City
Jack Grealish,3,4,327,0,1,4,0,1.4,87.9,0,0.4,6.71,"LW,LM",1995-09-10,€57.5M,€200K,right,206517,10,10,2021-08-05,2027,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/206517.png,1.3,0.9,1.6,0,1.3,1.6,1,0.6,0.3,0,0.3,0.1,0.1,0,23.6,87.9,0.3,0.4,0.1,Manchester City
Mateo Kovacic,6,3,564,0,0,2,0,1,92.8,0,0.1,6.69,,,,,,,,,,,,,0.7,0.8,0.7,0,0.7,0.2,1.6,0.2,1.2,0.2,0.4,0.1,0,0,51,92.8,0,0.9,0.2,Manchester City
Josko Gvardiol,8,1,731,0,0,1,0,0.6,88.6,0,1,6.69,,,,,,,,,,,,,0.7,0.6,0.8,0,0.7,0.9,1.4,1.2,0.6,0.6,1.1,0.4,0.6,0,60.2,88.6,0.1,2.4,0,Manchester City
Ederson,11,0,990,0,0,2,0,0,82.9,0,0.3,6.67,GK,1993-08-17,€70M,€210K,left,210257,10,31,2017-07-01,2026,https://cdn.sofifa.net/flags/br.png,https://cdn.futbin.com/content/fifa24/img/players/210257.png,0.1,0,0.1,0,0,0,0,0,0,0,0.3,0.1,0,0,39.9,82.9,0,7.1,0,Manchester City
Rúben Dias,9,1,826,0,0,0,0,0.6,93.1,0,0.9,6.65,CB,1997-05-14,€106.5M,€250K,right,239818,10,3,2020-09-29,2027,https://cdn.sofifa.net/flags/pt.png,https://cdn.futbin.com/content/fifa24/img/players/239818.png,0.1,0,0.5,0,0.1,0.1,0.9,1,0.8,0.5,2.6,0.4,0.3,1,82.2,93.1,0.2,2.3,0.1,Manchester City
John Stones,3,1,258,0,0,0,0,0,97.5,0,0.3,6.56,"CB,RB",1994-05-28,€49.5M,€180K,right,203574,10,5,2016-08-09,2026,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/203574.png,0.8,0,0.3,0,0.5,0,0.5,0.5,0.3,0.3,1,0.3,0,0,40,97.5,0,1.5,0,Manchester City
Sergio Gómez,0,2,15,0,1,0,0,0,85.7,0,0,6.48,LB,2000-09-04,€9M,€64K,left,241811,10,21,2022-08-16,2026,https://cdn.sofifa.net/flags/es.png,https://cdn.futbin.com/content/fifa24/img/players/241811.png,0.5,1,0,0,0,0,0,0.5,0.5,0,0,0,0,0,7,85.7,0,0,0,Manchester City
Matheus Nunes,2,3,200,0,1,0,0,0,91.9,0,0.2,6.43,"CM,LM",1998-08-27,€26.5M,€100K,right,253124,10,27,2023-09-01,2028,https://cdn.sofifa.net/flags/pt.png,https://cdn.futbin.com/content/fifa24/img/players/253124.png,0.2,0.4,0.8,0,0.6,1.4,0.8,0,0.6,0,1,0.8,0.2,0,27.2,91.9,0.2,0.4,0,Manchester City
Kevin De Bruyne,1,0,23,0,0,0,0,1,66.7,0,0,6.38,"CM,CAM",1991-06-28,€103M,€350K,right,192985,10,17,2015-08-30,2025,https://cdn.sofifa.net/flags/be.png,https://cdn.futbin.com/content/fifa24/img/players/192985.png,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,66.7,2,0,0,Manchester City
Aymeric Laporte,0,1,11,0,0,0,0,1,100,0,0,6.37,CB,1994-05-27,€49.5M,€70K,left,212218,112139,27,2023-08-24,2026,https://cdn.sofifa.net/flags/es.png,https://cdn.futbin.com/content/fifa24/img/players/212218.png,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11,100,0,0,0,Manchester City
Oscar Bobb,0,4,52,0,1,0,0,0,87,0,0,6.37,RW,2003-07-12,€1.5M,€14K,left,277295,10,52,2019-07-12,2026,https://cdn.sofifa.net/flags/no.png,https://cdn.futbin.com/content/fifa24/img/players/277295.png,0.8,0.8,0.5,0,0.3,0.5,0.3,0,0.3,0,0,0,0,0,5.8,87,0.3,0,0.5,Manchester City
Kalvin Phillips,0,4,89,0,0,0,0,0.5,89.7,0,0,6.27,"CDM,CM",1995-12-02,€20M,€105K,right,224081,10,4,2022-07-04,2028,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/224081.png,0,0.3,0.5,0,0.5,1,0.8,0.5,0.8,0,0.5,0,0,0,17,89.7,0.3,1,0,Manchester City
Rico Lewis,2,3,168,0,0,0,0,0,87.9,0,0,6.24,"RB,CDM",2004-11-21,€7M,€20K,right,271574,10,82,2022-07-01,2028,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/271574.png,0,0.2,0.8,0,0.4,0,0.2,0.2,0,0,0,0,0,0,18.2,87.9,0,0.2,0,Manchester City
Stefan Ortega,1,0,90,0,0,0,0,0,69.6,0,0,6.20,GK,1992-11-06,€11.5M,€86K,right,200159,10,18,2022-07-01,2025,https://cdn.sofifa.net/flags/de.png,https://cdn.futbin.com/content/fifa24/img/players/200159.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,69.6,0,7,0,Manchester City
James McAtee,0,1,1,0,0,0,0,0,0,0,0,6.00,"CAM,CM",2002-10-18,€3.5M,€37K,left,264349,1794,28,undefined,"jun 30, 2024",https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/264349.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manchester City
Cole Palmer,0,1,10,0,0,0,0,0,80,0,0,5.99,"RW,CAM",2002-05-06,€2.5M,€23K,left,257534,5,20,2023-09-01,2030,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/257534.png,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,80,0,0,0,Manchester City
