name,starting_apps,sub_apps,mins,goals,asists,yel,red,shots_per_game,pass_accuracy,motm,aerial_duels_won,rating,positions,dob,value,wage,preferred_foot,profile_id,club_id,kit_number,joined,contract_valid_until,flag,image,key_passes,dribbles,fouled,offsides,possession_lost,bad_touch,tackles,interceptions,fouls,offsides_won,clearances,dribbled_past,blocks,own_goals,pass_per_game,accuracy,crosses,long_balls,through_balls,team_name
Bruno Fernandes,12,0,1080,3,2,4,0,3,77.3,4,0.7,7.25,"CAM,CM,RW",1994-09-08,€92M,€260K,right,212198,11,8,2020-01-30,2026,https://cdn.sofifa.net/flags/pt.png,https://cdn.futbin.com/content/fifa24/img/players/212198.png,2.7,0.8,0.9,0.5,0.8,1.7,2.3,0.6,1.1,0,1.2,1.8,0.1,0,54.7,77.3,1.3,4,0.2,Manchester United
Luke Shaw,2,0,180,0,0,1,0,0,84.8,0,0.5,7.18,"LB,CB",1995-07-12,€35M,€135K,left,205988,11,23,2014-06-27,2027,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/205988.png,3,0.5,0,0,0.5,2,1.5,1,1,0,4.5,0.5,1.5,0,49.5,84.8,1.5,1.5,0.5,Manchester United
Hannibal Mejbri,1,1,116,1,0,1,0,0.5,93.3,0,0.5,6.98,"CM,CAM",2003-01-21,€2.9M,€25K,right,258171,11,46,2020-01-21,2026,https://cdn.sofifa.net/flags/tn.png,https://cdn.futbin.com/content/fifa24/img/players/258171.png,1,0.5,1.5,0.5,0.5,2,1.5,0,1,0,0,1,0.5,0,15,93.3,0,0.5,0.5,Manchester United
Diogo Dalot,10,1,924,1,0,2,0,0.8,85.1,0,0.9,6.94,"RB,LB",1999-03-18,€28M,€90K,right,234574,11,20,2018-06-09,2028,https://cdn.sofifa.net/flags/pt.png,https://cdn.futbin.com/content/fifa24/img/players/234574.png,1.1,0.9,0.5,0,0.3,0.4,1.9,0.8,0.9,0.1,2.5,0.5,0.2,0,42.6,85.1,1.2,1.7,0,Manchester United
Aaron Wan-Bissaka,5,1,431,0,1,2,0,0,85.7,1,0.8,6.93,RB,1997-11-26,€25.5M,€100K,right,229880,11,29,2019-06-29,2024,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/229880.png,0.7,0.8,0.2,0,0.5,1.2,2.3,1.3,1,0.3,2.8,0.7,0.7,0,40.8,85.7,0.2,0.8,0,Manchester United
André Onana,12,0,1080,0,0,3,0,0,74.6,0,0.3,6.82,GK,1996-04-02,€46M,€130K,right,226753,11,24,2023-07-20,2028,https://cdn.sofifa.net/flags/cm.png,https://cdn.futbin.com/content/fifa24/img/players/226753.png,0,0,0.2,0,0,0.1,0,0,0,0,0.2,0,0,0,33.4,74.6,0,4.2,0,Manchester United
Scott McTominay,6,3,518,3,0,0,0,1.1,82.6,1,0.6,6.80,"CDM,CM",1996-12-08,€20.5M,€100K,right,237238,11,39,2013-07-01,2025,https://cdn.sofifa.net/flags/gb-sct.png,https://cdn.futbin.com/content/fifa24/img/players/237238.png,0.1,0.6,0.3,0.2,0.6,1.1,1.4,0.7,1,0.1,1.2,0.3,0.4,0,19.8,82.6,0,0.9,0,Manchester United
Casemiro,8,0,650,1,0,1,0,1.9,82.8,0,1.6,6.79,CDM,1992-02-23,€72M,€240K,right,200145,11,18,2022-08-19,2026,https://cdn.sofifa.net/flags/br.png,https://cdn.futbin.com/content/fifa24/img/players/200145.png,0.9,0.4,0.6,0.3,1.1,0.8,2.6,0.6,1.4,0,2,1.9,0.6,0,53.8,82.8,0.3,3,0,Manchester United
Harry Maguire,5,2,476,0,1,0,0,0.1,85.4,0,3.1,6.75,CB,1993-03-05,€14.5M,€100K,right,203263,11,5,2019-08-05,2024,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/203263.png,0.3,0,0.7,0.3,0,0.4,0.4,0.4,1,0.4,3.1,0.1,1.1,0,54.7,85.4,0.1,6.1,0,Manchester United
Marcus Rashford,11,0,937,1,1,1,0,3.3,81.7,0,1,6.75,"LW,LM,ST",1997-10-31,€71.5M,€185K,right,231677,11,10,2015-11-21,2028,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/231677.png,1.2,2.3,0.7,0.2,1.7,2.2,0.2,0.1,0.4,0,0.5,0.5,0.1,0,25.8,81.7,0,1.1,0.1,Manchester United
