name,starting_apps,sub_apps,mins,goals,asists,yel,red,shots_per_game,pass_accuracy,motm,aerial_duels_won,rating,positions,dob,value,wage,preferred_foot,profile_id,club_id,kit_number,joined,contract_valid_until,flag,image,key_passes,dribbles,fouled,offsides,possession_lost,bad_touch,tackles,interceptions,fouls,offsides_won,clearances,dribbled_past,blocks,own_goals,pass_per_game,accuracy,crosses,long_balls,through_balls,team_name
Anthony Gordon,10,1,884,4,2,6,0,1.9,85.6,1,0.4,7.28,"LW,RW,LM",2001-02-24,€17M,€78K,right,242964,13,10,2023-01-29,2028,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/242964.png,0.8,1.5,2,0.1,1.4,2.5,2,0.1,0.9,0,0.2,1.6,0,0,25.2,85.6,0.3,1.2,0.1,Newcastle
Kieran Trippier,12,0,1039,0,6,3,0,0.2,82.5,1,1.4,7.28,RB,1990-09-19,€37.5M,€150K,right,186345,13,2,2022-01-07,2025,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/186345.png,2.8,0.7,1,0.1,0.7,0.7,1.4,0.6,1.1,0.2,1.2,1.3,0.5,0,72.6,82.5,2.7,3.4,0,Newcastle
Bruno Guimarães,11,0,955,1,1,5,0,0.9,87.3,2,0.5,7.11,"CM,CDM",1997-11-16,€55.5M,€145K,right,247851,13,39,2022-01-31,2026,https://cdn.sofifa.net/flags/br.png,https://cdn.futbin.com/content/fifa24/img/players/247851.png,1.5,1.7,2.4,0,1.5,1.5,1.7,0.6,1.7,0,0.5,1.2,0.3,0,58.8,87.3,0.1,3.5,0.3,Newcastle
Sven Botman,5,0,447,1,1,1,0,1,92.2,0,2.4,7.06,CB,2000-01-12,€47M,€105K,left,251809,13,4,2022-07-01,2027,https://cdn.sofifa.net/flags/nl.png,https://cdn.futbin.com/content/fifa24/img/players/251809.png,0.4,0,0.4,0.2,0,0.2,1.2,0.8,0.4,0.4,3,0.2,0.6,0,69.6,92.2,0,2,0,Newcastle
Alexander Isak,6,2,497,6,0,0,0,2.3,80.2,2,0.1,7.06,"ST,LW",1999-09-21,€39.5M,€110K,right,233731,13,14,2022-08-26,2028,https://cdn.sofifa.net/flags/se.png,https://cdn.futbin.com/content/fifa24/img/players/233731.png,0.5,1.5,0.6,0.3,0.4,1.6,0.1,0,0.6,0,0.1,0.4,0,0,11.4,80.2,0,0.1,0,Newcastle
Jacob Murphy,1,4,120,1,3,0,0,0.8,77.8,1,0,6.98,"RW,LW",1995-02-24,€7.5M,€90K,right,206085,13,23,2017-07-19,2027,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/206085.png,0.8,0.6,0.2,0,0.6,1,0.4,0,0.2,0,0.6,0,0,0,9,77.8,0.2,0.2,0.4,Newcastle
Callum Wilson,5,5,481,7,0,1,0,2.1,60.3,0,0.4,6.85,ST,1992-02-27,€25.5M,€135K,right,196978,13,9,2020-09-07,2025,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/196978.png,0.1,0.8,0.6,0.1,1.9,2.3,0.2,0,1,0,0.1,0.1,0,0,7.8,60.3,0,0.1,0,Newcastle
Fabian Schär,12,0,1080,0,0,2,0,0.8,85.8,0,1.8,6.85,CB,1991-12-20,€21M,€115K,right,210047,13,5,2018-07-26,2024,https://cdn.sofifa.net/flags/ch.png,https://cdn.futbin.com/content/fifa24/img/players/210047.png,0.1,0.3,0.6,0,0.3,0.4,1.4,0.9,0.8,0.3,3.4,0.4,0.7,0,69.2,85.8,0,5.5,0.1,Newcastle
Dan Burn,11,0,946,1,0,2,0,0.7,83.6,0,2.3,6.84,"CB,LB",1992-05-09,€12M,€95K,left,198032,13,33,2022-01-31,2025,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/198032.png,0.3,0.1,0.5,0.2,0.5,0.4,1.5,0.9,1.1,0.5,2.4,1.5,0.7,0,48.3,83.6,0.2,0.5,0.1,Newcastle
Nick Pope,12,0,1080,0,0,0,0,0.1,73.9,0,0.3,6.77,GK,1992-04-19,€22.5M,€110K,right,203841,13,22,2022-06-23,2026,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/203841.png,0,0,0.2,0,0,0,0,0,0,0,1.4,0.1,0,0,20.4,73.9,0,2.7,0,Newcastle
Miguel Almirón,10,2,755,2,0,1,0,1.3,83.6,0,0.1,6.71,"RW,RM",1994-02-10,€25.5M,€130K,left,230977,13,24,2019-01-31,2026,https://cdn.sofifa.net/flags/py.png,https://cdn.futbin.com/content/fifa24/img/players/230977.png,0.4,0.6,0.6,0.2,0.7,0.8,1.1,0.5,0.5,0,0.3,0.7,0,0,25.9,83.6,0,0.5,0,Newcastle
Jamaal Lascelles,6,1,556,0,0,2,0,0.4,86.2,0,3.3,6.70,CB,1993-11-11,€4.7M,€74K,right,203487,13,6,2014-08-09,2024,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/203487.png,0.1,0.1,0.3,0.1,0.3,0,1,0.3,1.6,0.6,2.9,0.6,1.3,0,62.1,86.2,0,1,0,Newcastle
Joelinton,8,1,640,0,1,1,0,0.8,83.8,1,0.4,6.68,"CM,LW",1996-08-14,€35.5M,€125K,right,223334,13,7,2019-07-23,2024,https://cdn.sofifa.net/flags/br.png,https://cdn.futbin.com/content/fifa24/img/players/223334.png,1.2,0.9,0.6,0,1.3,1.2,1.6,1,1.7,0,0.7,0.9,0.2,0,29.4,83.8,0,0.3,0.1,Newcastle
Sean Longstaff,8,4,809,2,1,4,0,1.1,81.3,0,0.3,6.66,CM,1997-10-30,€18.5M,€89K,right,237161,13,36,2015-06-30,2025,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/237161.png,0.5,0.2,1.5,0.1,1.3,0.8,1.3,0.3,0.3,0,0.7,1.2,0.3,0,31.2,81.3,0.3,1.8,0,Newcastle
Elliot Anderson,4,5,409,0,1,0,0,0.8,83.2,0,0.7,6.60,"CM,LW",2002-11-06,€5M,€43K,right,254243,13,32,2019-11-08,2026,https://cdn.sofifa.net/flags/gb-sct.png,https://cdn.futbin.com/content/fifa24/img/players/254243.png,0.7,0.9,0.8,0,1.1,1.7,0.9,0.2,0.7,0,0.7,0.7,0.3,0,19.2,83.2,0.2,0.3,0,Newcastle
Lewis Hall,1,1,55,0,0,0,0,0.5,77.8,0,1,6.56,"LB,LWB",2004-09-08,€2.1M,€6K,left,266127,13,20,undefined,"jun 30, 2024",https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/266127.png,0,0.5,0,0,1,0.5,2,0.5,0,0,0,1,0,0,13.5,77.8,0,0.5,0,Newcastle
Sandro Tonali,5,3,439,1,0,2,0,0.4,88,0,0.1,6.53,"CDM,CM",2000-05-08,€84M,€140K,right,241096,13,8,2023-07-03,2028,https://cdn.sofifa.net/flags/it.png,https://cdn.futbin.com/content/fifa24/img/players/241096.png,0.9,0.4,0.8,0,0.3,0.5,0.9,0.3,1.1,0,0.5,0.8,0,0,33.4,88,0.5,0.9,0,Newcastle
Lewis Miley,1,0,66,0,0,0,0,0,88.1,0,1,6.53,"CM,CDM,CAM",2006-05-01,€1.5M,€2K,right,274246,13,67,2023-02-11,2024,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/274246.png,0,0,0,0,0,0,1,2,0,0,3,0,0,0,42,88.1,0,2,0,Newcastle
Harvey Barnes,2,4,185,1,1,1,0,1,81.3,0,0.2,6.45,"LW,LM",1997-12-09,€28M,€115K,right,234742,13,15,2023-07-23,2028,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/234742.png,0.3,0.5,1.2,0,0.7,0.3,0.2,0.2,0.2,0,0,0.2,0,0,10.7,81.3,0,0,0,Newcastle
Joe Willock,1,2,136,0,0,0,0,0.3,81.6,0,0,6.34,CM,1999-08-20,€21M,€81K,right,237329,13,28,2021-08-13,2027,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/237329.png,0.7,1.3,0,0,0.3,2,1,0,0,0,0.3,1,0,0,16.3,81.6,0.3,1.3,0,Newcastle
Tino Livramento,0,6,136,0,0,1,0,0,89.6,0,0,6.25,RB,2002-11-12,€9M,€47K,right,262118,13,21,2023-08-08,2028,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/262118.png,0.2,0,0.3,0,0.5,0.8,1.3,0.5,0.3,0,0.5,0.3,0.3,0,8,89.6,0,0,0,Newcastle
Matt Ritchie,0,2,69,0,0,0,0,1,85.7,0,0,6.23,"LM,LB",1989-09-10,€1.5M,€58K,left,186395,13,11,2016-07-01,2024,https://cdn.sofifa.net/flags/gb-sct.png,https://cdn.futbin.com/content/fifa24/img/players/186395.png,0,0,0.5,0,0.5,0,1,0.5,0.5,0,2.5,0.5,0,0,14,85.7,0,0,0,Newcastle
Emil Krafth,0,1,1,0,0,0,0,0,100,0,0,6.00,"RB,CB",1994-08-02,€2.8M,€63K,right,207650,13,17,2019-08-08,2024,https://cdn.sofifa.net/flags/se.png,https://cdn.futbin.com/content/fifa24/img/players/207650.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,Newcastle
Matt Targett,1,2,78,0,0,1,0,0,86.8,0,0,5.91,LB,1995-09-18,€7M,€74K,left,218659,13,13,2022-06-10,2026,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/218659.png,0.3,0,0.7,0,0,0,0.7,0,0,0.7,0.7,0,0,0,12.7,86.8,0,0.3,0,Newcastle
Ben Parkinson,0,1,24,0,0,0,0,0,33.3,0,0,5.89,"RW,ST",2005-03-10,€450K,€6K,right,275876,13,63,2023-07-14,2024,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/275876.png,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,33.3,0,0,0,Newcastle
