name,starting_apps,sub_apps,mins,goals,asists,yel,red,shots_per_game,pass_accuracy,motm,aerial_duels_won,rating,positions,dob,value,wage,preferred_foot,profile_id,club_id,kit_number,joined,contract_valid_until,flag,image,key_passes,dribbles,fouled,offsides,possession_lost,bad_touch,tackles,interceptions,fouls,offsides_won,clearances,dribbled_past,blocks,own_goals,pass_per_game,accuracy,crosses,long_balls,through_balls,team_name
Willy-Arnaud Boly,9,1,770,1,0,1,0,1,79.7,1,3.3,7.19,,,,,,,,,,,,,0.3,0.1,0.1,0.1,0.1,0.2,2.3,1.6,1.2,0.4,4.9,0.7,1.3,0,36.5,79.7,0,1.2,0.1,Nottingham Forest
Odysseas Vlachodimos,2,0,180,0,0,0,0,0,74.1,0,0,7.10,,,,,,,,,,,,,0.5,0,0.5,0,0,0,0,0,0,0,1.5,0,0,0,27,74.1,0,7,0,Nottingham Forest
Murillo,6,0,526,0,0,1,0,0.7,82.4,0,1.5,7.00,CB,2002-07-04,€2.7M,€15K,left,278016,14,40,2023-08-31,2028,https://cdn.sofifa.net/flags/br.png,https://cdn.futbin.com/content/fifa24/img/players/278016.png,0.3,1.5,0.2,0,0.3,0.3,1.5,0.8,0.7,0,5.8,0.5,0.5,0,46.3,82.4,0,3.7,0,Nottingham Forest
Nicolás Domínguez,7,0,540,1,0,1,0,1.4,82.1,1,1,6.88,"CDM,CM",1998-06-28,€15M,€52K,right,237819,14,16,2023-09-01,2028,https://cdn.sofifa.net/flags/ar.png,https://cdn.futbin.com/content/fifa24/img/players/237819.png,0,0.1,1.1,0.3,0.6,0.6,3.7,0.6,1,0,1.6,1,0,0,37.4,82.1,0,1.7,0,Nottingham Forest
Morgan Gibbs-White,11,1,1014,0,1,3,0,1.5,72.3,0,1.3,6.82,"CAM,CF,LW",2000-01-27,€16.5M,€52K,right,236015,14,10,2022-08-19,2027,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/236015.png,1.8,1.5,1.6,0.2,0.8,2.3,0.9,0.6,0.7,0,0.5,0.7,0.2,0,31,72.3,1.7,2.2,0,Nottingham Forest
Scott McKenna,5,0,417,0,0,0,0,0.4,77.5,0,4,6.81,CB,1996-11-12,€3.5M,€41K,left,225974,14,26,2020-09-23,2024,https://cdn.sofifa.net/flags/gb-sct.png,https://cdn.futbin.com/content/fifa24/img/players/225974.png,0.6,0,0.4,0,0,0.6,0.8,1,0.6,0,5,0.2,0.8,0,33.8,77.5,0,1.4,0,Nottingham Forest
Harry Toffolo,4,2,393,0,3,0,0,0.3,75.2,0,0.5,6.77,"LB,LWB",1995-08-19,€1.8M,€32K,left,206086,14,15,2022-07-20,2025,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/206086.png,1.2,0,0.2,0,0.2,0.5,1.3,1,1,0,1.8,0.7,0.8,0,22.8,75.2,1,0.8,0,Nottingham Forest
Callum Hudson-Odoi,3,1,231,1,0,0,0,0.8,84.1,1,0,6.76,"LW,RW",2000-11-07,€8.5M,€51K,right,240740,14,14,2023-09-01,2026,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/240740.png,1,2,0.8,0.5,0.5,0,0.5,0,1.3,0,0.5,0.8,0,0,22,84.1,0.3,1.8,0,Nottingham Forest
Taiwo Awoniyi,8,2,672,4,2,1,0,1.2,72.8,0,1.5,6.74,ST,1997-08-12,€14M,€63K,right,230978,14,9,2022-07-01,2027,https://cdn.sofifa.net/flags/ng.png,https://cdn.futbin.com/content/fifa24/img/players/230978.png,0.9,0.6,0.7,0.9,0.9,2.5,0.5,0,0.8,0,0.8,0.1,0,0,11.4,72.8,0,0,0.1,Nottingham Forest
Anthony Elanga,6,6,650,2,3,1,0,1.4,72.4,0,0.5,6.72,"RW,ST,LW",2002-04-27,€7M,€38K,right,257470,14,21,2023-07-25,2028,https://cdn.sofifa.net/flags/se.png,https://cdn.futbin.com/content/fifa24/img/players/257470.png,0.7,0.9,0.7,0.6,0.4,2.3,0.5,0.3,0.1,0,0.3,0.2,0.1,0,15.4,72.4,0.3,0.2,0.1,Nottingham Forest
Ibrahim Sangaré,8,0,647,0,0,4,0,0.8,81.1,0,1,6.71,"CDM,CM",1997-12-02,€31M,€70K,right,235173,14,6,2023-09-01,2028,https://cdn.sofifa.net/flags/ci.png,https://cdn.futbin.com/content/fifa24/img/players/235173.png,0.5,0.5,0.6,0.1,0.5,0.5,3.1,1.1,1.8,0,1.5,1.3,0.6,0,29.8,81.1,0,1.6,0.3,Nottingham Forest
Ola Aina,8,1,633,1,1,3,0,0.3,75.1,1,1,6.61,"LB,LM,RM",1996-10-08,€3.3M,€41K,right,224656,14,43,2023-07-22,2024,https://cdn.sofifa.net/flags/ng.png,https://cdn.futbin.com/content/fifa24/img/players/224656.png,0.3,0.7,0.9,0.2,0.6,0.3,1.9,0.3,0.7,0.1,2.2,0.6,0.3,0,21.4,75.1,0,0.4,0,Nottingham Forest
Sèrge Aurier,9,2,745,0,2,2,0,0.5,78.6,1,2.5,6.56,,,,,,,,,,,,,0.4,0.2,0.8,0,0.6,0.6,1.4,0.6,0.6,0.3,2.5,0.5,0.3,0,29.3,78.6,0.4,0.5,0,Nottingham Forest
Matt Turner,10,0,900,0,0,1,0,0,63.8,0,0.4,6.51,GK,1994-06-24,€8.5M,€47K,right,233267,14,1,2023-08-09,2027,https://cdn.sofifa.net/flags/us.png,https://cdn.futbin.com/content/fifa24/img/players/233267.png,0,0,0.3,0,0,0.1,0,0,0,0,0.5,0,0,0,27.6,63.8,0,7.3,0,Nottingham Forest
Orel Mangala,11,0,918,1,0,4,0,0.6,88.1,0,0.4,6.49,"CM,CDM",1998-03-18,€10.5M,€54K,right,234078,14,5,2022-07-31,2026,https://cdn.sofifa.net/flags/be.png,https://cdn.futbin.com/content/fifa24/img/players/234078.png,0.4,0.5,0.8,0,1.2,0.9,1.3,1.4,1.4,0,1.3,0.9,0.3,0,32.2,88.1,0.1,0.7,0,Nottingham Forest
Neco Williams,1,4,121,0,0,0,0,0.2,64.1,0,0.4,6.42,"RWB,RB,LWB",2001-04-13,€8M,€39K,right,243057,14,7,2022-07-10,2026,https://cdn.sofifa.net/flags/gb-wls.png,https://cdn.futbin.com/content/fifa24/img/players/243057.png,0.4,0.2,0.2,0,1.6,0.8,1.8,1.4,0,0,0.2,0.8,0.2,0,7.8,64.1,0.4,0.2,0,Nottingham Forest
Chris Wood,2,8,248,3,0,0,0,0.9,58.9,1,1.1,6.40,,,,,,,,,,,,,0.6,0,0.3,0.1,0.5,0.5,0.1,0.1,0.5,0,0.5,0.1,0,0,7.3,58.9,0,0.1,0,Nottingham Forest
Ryan Yates,3,6,360,0,0,2,0,0.2,75.7,0,0.8,6.33,"CDM,CM",1997-11-21,€7.5M,€46K,right,235642,14,22,2016-07-01,2025,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/235642.png,0.1,0,0.9,0.1,0.3,0.4,1.4,0.7,1.4,0,1.3,0.3,0.4,0,12.8,75.7,0.1,0.2,0,Nottingham Forest
Joe Worrall,5,1,439,0,0,0,1,0.3,84.5,0,1.8,6.33,CB,1997-01-10,€4.6M,€45K,right,230708,14,4,2015-07-01,2024,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/230708.png,0.3,0,0.3,0,0,0,1.2,0.5,0.5,0.7,4.3,0.5,0.7,0,26.8,84.5,0,2,0,Nottingham Forest
Brennan Johnson,3,0,240,0,0,0,0,1,81,0,0.3,6.32,"RW,ST",2001-05-23,€15M,€63K,right,251421,18,22,2023-09-01,2029,https://cdn.sofifa.net/flags/gb-wls.png,https://cdn.futbin.com/content/fifa24/img/players/251421.png,0.3,0.7,2.3,0.3,0.7,1.3,1.3,0,0.3,0,0,0.7,0.3,0,19.3,81,0,0.7,0,Nottingham Forest
Danilo,4,2,342,0,0,1,0,0.5,78.5,0,1,6.27,"CB,RB",1991-07-15,€17.5M,€100K,right,199304,45,6,2019-08-07,2025,https://cdn.sofifa.net/flags/br.png,https://cdn.futbin.com/content/fifa24/img/players/199304.png,0.3,0.5,0.2,0.3,0.5,0.7,0.8,1.2,0.2,0,0.7,0.7,0.2,0,20.2,78.5,0,0.8,0,Nottingham Forest
Gonzalo Montiel,1,3,167,0,0,2,0,0.5,82.9,0,0.5,6.24,"RB,RWB",1997-01-01,€20M,€29K,right,231340,14,29,undefined,"jun 30, 2024",https://cdn.sofifa.net/flags/ar.png,https://cdn.futbin.com/content/fifa24/img/players/231340.png,0.5,0,0,0.3,0,0.8,1,0.5,1.3,0.3,1.3,0.5,0,0,20.5,82.9,0,0.8,0,Nottingham Forest
Moussa Niakhaté,5,2,450,0,0,1,1,0,84,0,0.7,6.14,CB,1996-03-08,€11M,€55K,left,225859,14,19,2022-07-06,2025,https://cdn.sofifa.net/flags/sn.png,https://cdn.futbin.com/content/fifa24/img/players/225859.png,0,0,0.1,0,0,0.3,2,0.4,0.6,0.3,2.1,0.3,0.4,0,27.7,84,0,1.7,0,Nottingham Forest
Cheikhou Kouyaté,0,7,71,0,0,1,0,0.3,56.4,0,1,6.12,,,,,,,,,,,,,0.1,0.1,0.1,0,0.1,0.4,0.4,0.1,0,0,1.1,0.1,0.1,0,5.6,56.4,0,0,0,Nottingham Forest
Nuno Tavares,1,2,94,0,0,2,0,0,77.8,0,0,6.05,"LB,LM",2000-01-26,€10.5M,€64K,left,251530,14,3,undefined,"jun 30, 2024",https://cdn.sofifa.net/flags/pt.png,https://cdn.futbin.com/content/fifa24/img/players/251530.png,0,0.3,0,0,0,1,0.7,0,0.7,0,1,0,0,0,9,77.8,0.3,0,0,Nottingham Forest
Divock Origi,0,5,60,0,0,1,0,0.4,62.5,0,0,6.01,,,,,,,,,,,,,0.2,0,0.6,0,0.6,0.8,0,0,0.2,0,0,0,0,0,1.6,62.5,0.2,0.2,0,Nottingham Forest
Andrey Santos,0,1,7,0,0,0,0,2,100,0,0,5.98,"CM,CDM",2004-05-03,€3.8M,€25K,right,273018,14,12,undefined,"jun 30, 2024",https://cdn.sofifa.net/flags/br.png,https://cdn.futbin.com/content/fifa24/img/players/273018.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,100,0,0,0,Nottingham Forest
