name,starting_apps,sub_apps,mins,goals,asists,yel,red,shots_per_game,pass_accuracy,motm,aerial_duels_won,rating,positions,dob,value,wage,preferred_foot,profile_id,club_id,kit_number,joined,contract_valid_until,flag,image,key_passes,dribbles,fouled,offsides,possession_lost,bad_touch,tackles,interceptions,fouls,offsides_won,clearances,dribbled_past,blocks,own_goals,pass_per_game,accuracy,crosses,long_balls,through_balls,team_name
Oliver McBurnie,5,1,431,1,1,1,1,1.8,59.2,0,5.2,6.72,,,,,,,,,,,,,0.7,0.7,1.3,0.5,1.2,0.8,0.8,0.3,1,0,1.5,0.3,0.2,0,23.7,59.2,0.2,0.2,0.2,Sheffield United
Wes Foderingham,12,0,1080,0,0,1,0,0,56.4,0,0.4,6.58,,,,,,,,,,,,,0,0.2,0.6,0,0,0,0.1,0,0.1,0,0.9,0.1,0,1,31.2,56.4,0,7.7,0,Sheffield United
Oliver Norwood,10,1,882,1,0,3,0,1,74,0,0.9,6.56,"CDM,CM",1991-04-12,€2.8M,€27K,right,186143,1794,16,2019-01-01,2024,https://cdn.sofifa.net/flags/gb-nir.png,https://cdn.futbin.com/content/fifa24/img/players/186143.png,0.9,0,0.3,0,0.3,0.5,2.5,1.1,0.7,0.1,2.3,1.4,0.4,0,48.5,74,1,4.1,0,Sheffield United
Vinicius Souza,11,1,930,0,0,2,0,0.3,83.1,0,1.9,6.56,"CDM,CM,CB",1999-06-17,€10.5M,€25K,right,262929,1794,21,2023-08-09,2027,https://cdn.sofifa.net/flags/br.png,https://cdn.futbin.com/content/fifa24/img/players/262929.png,0.1,0.7,0.6,0.1,0.8,1.4,3.2,1.1,1.2,0.1,2,0.9,0.3,0,29.2,83.1,0,1.1,0,Sheffield United
Gustavo Hamer,11,0,909,2,0,2,0,1.5,72.5,0,0.2,6.55,"CM,CDM,CAM",1997-06-24,€7M,€32K,right,234741,1794,8,2023-08-11,2027,https://cdn.sofifa.net/flags/nl.png,https://cdn.futbin.com/content/fifa24/img/players/234741.png,1.5,0.4,0.5,0.2,0.7,1.1,1.7,0.5,1.4,0,0.7,1.4,0.1,0,30.1,72.5,0.9,1.2,0,Sheffield United
Max Lowe,2,0,126,0,0,0,0,0,56.5,0,0.5,6.54,"LWB,LB",1997-05-11,€2.8M,€22K,left,212100,1794,3,2020-09-07,2024,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/212100.png,0.5,0,0.5,0,0,1,4,0.5,2,0.5,2,1,1,0,11.5,56.5,0,1,0,Sheffield United
Cameron Archer,8,1,714,2,0,1,0,1.1,84.4,0,0.4,6.48,ST,2001-12-09,€4.9M,€23K,right,258930,1794,10,2023-08-27,2027,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/258930.png,1,1,1.2,0.4,2.1,3.1,0.4,0.1,0.6,0,0.1,0.4,0.1,0,13.6,84.4,0,0.1,0,Sheffield United
Auston Trusty,5,2,465,0,0,1,0,0,77.4,0,1.6,6.43,"CB,LB",1998-08-12,€4.4M,€22K,left,235755,1794,5,2023-08-03,2027,https://cdn.sofifa.net/flags/us.png,https://cdn.futbin.com/content/fifa24/img/players/235755.png,0.1,0,0.1,0.1,0.1,0.6,2.3,0.9,0.4,0.7,3.6,0.6,0.6,0,20.9,77.4,0.1,0.3,0,Sheffield United
Yasser Larouci,1,4,220,0,0,0,0,0.6,76.2,0,0,6.39,"LWB,LB",2001-01-01,€3M,€3K,left,252302,1794,27,undefined,"jun 30, 2024",https://cdn.sofifa.net/flags/fr.png,https://cdn.futbin.com/content/fifa24/img/players/252302.png,0,0.6,0.4,0,0.2,0,0.8,1,0.6,0,2,0.2,0.2,0,12.6,76.2,0,0.2,0,Sheffield United
George Baldock,5,1,450,0,0,2,0,0.2,74.1,0,0.8,6.36,"RWB,RB",1993-03-09,€1.6M,€20K,right,200855,1794,2,2017-07-01,2024,https://cdn.sofifa.net/flags/gr.png,https://cdn.futbin.com/content/fifa24/img/players/200855.png,0.3,0.8,1.7,0,1.5,0.7,1.3,0.7,1.8,0.3,1.2,0.5,0.3,0,26.3,74.1,0.2,1,0,Sheffield United
