name,starting_apps,sub_apps,mins,goals,asists,yel,red,shots_per_game,pass_accuracy,motm,aerial_duels_won,rating,positions,dob,value,wage,preferred_foot,profile_id,club_id,kit_number,joined,contract_valid_until,flag,image,key_passes,dribbles,fouled,offsides,possession_lost,bad_touch,tackles,interceptions,fouls,offsides_won,clearances,dribbled_past,blocks,own_goals,pass_per_game,accuracy,crosses,long_balls,through_balls,team_name
James Maddison,11,0,890,3,5,2,0,2.5,85.1,1,0.1,7.58,"CAM,RM,CM",1996-11-23,€49.5M,€120K,right,220697,18,10,2023-06-28,2028,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/220697.png,2.8,1.5,2.7,0.1,1.4,1.2,1.4,0.5,0.8,0,0.3,0.6,0,0,44.5,85.1,1.2,1.9,0.4,Tottenham
Son Heung-Min,12,0,983,8,1,0,0,2.6,84.6,2,0.2,7.31,"LW,ST",1992-07-08,€77M,€170K,right,200104,18,7,2015-08-28,2025,https://cdn.sofifa.net/flags/kr.png,https://cdn.futbin.com/content/fifa24/img/players/200104.png,1.6,0.9,1,0.6,0.8,1.6,0.3,0.3,0.4,0,0.3,0.4,0,0,23.3,84.6,0.1,0.3,0.3,Tottenham
Cristian Romero,11,0,857,2,0,2,1,0.6,92.2,1,2.1,7.13,CB,1998-04-27,€38M,€89K,right,232488,18,17,2022-08-30,2027,https://cdn.sofifa.net/flags/ar.png,https://cdn.futbin.com/content/fifa24/img/players/232488.png,0.4,0.1,0.7,0,0,0.3,2,1.5,0.6,1,3.8,0.3,0.5,1,73.7,92.2,0,2.1,0.2,Tottenham
Pedro Porro,11,0,988,0,2,1,0,1.3,81.3,1,0.5,7.10,"RB,RWB",1999-09-13,€32.5M,€74K,right,243576,18,23,2023-07-01,2028,https://cdn.sofifa.net/flags/es.png,https://cdn.futbin.com/content/fifa24/img/players/243576.png,1.2,0.8,1,0,0.3,1.1,3.5,0.6,1.2,0.6,2.5,2.5,0.5,0,52,81.3,0.7,2.4,0.1,Tottenham
Manor Solomon,2,3,198,0,2,1,0,1.4,90.6,0,0,7.05,"LW,RW",1999-07-24,€16M,€68K,right,246791,18,27,2023-07-11,2028,https://cdn.sofifa.net/flags/il.png,https://cdn.futbin.com/content/fifa24/img/players/246791.png,2.4,2,0.2,0.2,0.4,1,0.6,0.6,0.4,0,0.2,0.2,0,0,17,90.6,0.2,0.4,0,Tottenham
Dejan Kulusevski,12,0,1045,3,0,1,0,1.8,80.4,1,0.2,7.02,RW,2000-04-25,€37M,€90K,left,247394,18,21,2023-07-01,2028,https://cdn.sofifa.net/flags/se.png,https://cdn.futbin.com/content/fifa24/img/players/247394.png,2,1.4,0.8,0.4,1.8,1.3,1.3,0.5,1.5,0,0.1,1.9,0.1,0,32.8,80.4,0.5,0.3,0.1,Tottenham
Yves Bissouma,11,0,893,0,0,5,1,1.4,92.1,0,0.4,6.99,"CDM,CM",1996-08-30,€20.5M,€76K,right,236480,18,8,2022-06-17,2026,https://cdn.sofifa.net/flags/ml.png,https://cdn.futbin.com/content/fifa24/img/players/236480.png,0.5,1.9,1.9,0,1.9,1.6,3.3,1.6,1.5,0,1.7,0.7,0.3,0,69.4,92.1,0,1.5,0,Tottenham
Guglielmo Vicario,12,0,1080,0,0,2,0,0,78.6,0,0.6,6.97,GK,1996-10-07,€30.5M,€76K,right,240091,18,13,2023-07-01,2028,https://cdn.sofifa.net/flags/it.png,https://cdn.futbin.com/content/fifa24/img/players/240091.png,0,0,0.2,0,0,0,0,0,0,0,1.1,0.1,0,0,36.3,78.6,0,2.7,0,Tottenham
Pape Matar Sarr,11,1,838,1,2,3,0,1.5,90,1,0.8,6.89,"CM,CDM",2002-09-14,€5M,€35K,right,259868,18,29,2021-08-27,2026,https://cdn.sofifa.net/flags/sn.png,https://cdn.futbin.com/content/fifa24/img/players/259868.png,1,0.7,0.5,0,0.5,1.3,1.3,0.7,1.1,0,1,0.6,0.3,0,44.3,90,0,0.9,0.2,Tottenham
Micky van de Ven,11,0,946,1,0,1,0,0.5,94.6,0,1.3,6.81,"CB,LB",2001-04-19,€26.5M,€59K,left,264453,18,37,2023-08-08,2029,https://cdn.sofifa.net/flags/nl.png,https://cdn.futbin.com/content/fifa24/img/players/264453.png,0,0.5,0.7,0,0.2,0.5,1.6,0.4,0.2,0.8,2.9,0.2,0.5,0,63.8,94.6,0,1.5,0,Tottenham
