name,starting_apps,sub_apps,mins,goals,asists,yel,red,shots_per_game,pass_accuracy,motm,aerial_duels_won,rating,positions,dob,value,wage,preferred_foot,profile_id,club_id,kit_number,joined,contract_valid_until,flag,image,key_passes,dribbles,fouled,offsides,possession_lost,bad_touch,tackles,interceptions,fouls,offsides_won,clearances,dribbled_past,blocks,own_goals,pass_per_game,accuracy,crosses,long_balls,through_balls,team_name
Jarrod Bowen,12,0,1080,8,1,1,0,2.8,76.2,1,1.4,7.34,"RM,RW",1996-12-20,€20.5M,€72K,left,224371,19,20,2020-01-31,2025,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/224371.png,0.8,1.6,1.2,0.6,1.5,2.1,1.4,0.8,0.7,0,0.5,0.5,0.2,0,19.3,76.2,0.3,0.4,0,West Ham
James Ward-Prowse,11,0,964,2,5,1,0,1.3,90.5,1,0.5,7.30,CM,1994-11-01,€14M,€68K,right,205569,19,7,2023-08-14,2027,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/205569.png,2.5,0.5,0.8,0,0.4,0.5,1.2,1.3,0.8,0,1.5,0.7,0.4,0,46.1,90.5,2.1,1.6,0,West Ham
Lucas Paquetá,11,0,978,2,1,5,0,1.2,76.4,0,1.8,7.20,"CAM,CM",1997-08-27,€34M,€78K,left,233927,19,10,2022-08-29,2027,https://cdn.sofifa.net/flags/br.png,https://cdn.futbin.com/content/fifa24/img/players/233927.png,1.2,1.6,2.2,0.3,2.6,1.5,2.6,0.9,1.9,0,1,1.3,0,0,50.1,76.4,0.2,2.5,0.6,West Ham
Tomás Soucek,10,1,810,3,1,2,0,1.6,74.6,1,2.6,6.96,,,,,,,,,,,,,0.5,0,0.5,0.3,0.3,0.4,1.3,0.9,0.9,0,2.7,0.7,0.8,0,21.1,74.6,0.1,1,0,West Ham
Vladimír Coufal,12,0,1077,0,4,1,0,0.1,73.9,0,1.1,6.85,RB,1992-08-22,€12M,€60K,right,244470,19,5,2020-10-02,2024,https://cdn.sofifa.net/flags/cz.png,https://cdn.futbin.com/content/fifa24/img/players/244470.png,1.2,0.2,0.9,0.1,0.3,0.8,2.6,1.3,0.8,0.1,2.5,1.2,0.5,0,37.4,73.9,0.8,1.5,0,West Ham
Emerson,11,0,990,0,1,6,0,0.5,81.9,0,0.6,6.77,LB,1994-08-03,€9.5M,€59K,left,210736,19,33,2022-08-23,2026,https://cdn.sofifa.net/flags/it.png,https://cdn.futbin.com/content/fifa24/img/players/210736.png,0.8,0.7,1.1,0,0.4,1.2,2.5,1.4,1.3,0.3,2.5,0.5,0.2,0,38.3,81.9,0.4,0.5,0.1,West Ham
Michail Antonio,11,1,823,2,2,2,0,0.8,63.4,0,1.3,6.74,ST,1990-03-28,€9M,€71K,right,190717,19,9,2015-09-01,2024,https://cdn.sofifa.net/flags/jm.png,https://cdn.futbin.com/content/fifa24/img/players/190717.png,0.5,1.4,1.3,0.5,1.2,2.8,0.7,0.1,1.1,0,0.1,0.1,0.3,0,11.2,63.4,0.1,0.4,0.1,West Ham
Alphonse Areola,12,0,1080,0,0,0,0,0,61.3,1,0.1,6.74,GK,1993-02-27,€10.5M,€49K,right,193105,19,23,2022-07-01,2027,https://cdn.sofifa.net/flags/fr.png,https://cdn.futbin.com/content/fifa24/img/players/193105.png,0,0,0,0,0,0,0,0,0,0,0.8,0.2,0,0,22.8,61.3,0,5.3,0,West Ham
Kurt Zouma,11,0,990,1,0,1,0,0.5,84.1,1,2.5,6.74,CB,1994-10-27,€17.5M,€69K,right,204311,19,4,2021-08-28,2025,https://cdn.sofifa.net/flags/fr.png,https://cdn.futbin.com/content/fifa24/img/players/204311.png,0.1,0,0.4,0,0,0.5,0.6,1.3,0.4,0.5,5.7,0.1,0.6,0,37.6,84.1,0,2.2,0,West Ham
Edson Álvarez,9,1,762,0,1,5,0,0.9,85.7,0,1.2,6.58,"CDM,CB",1997-10-24,€31M,€71K,right,235844,19,19,2023-08-10,2025,https://cdn.sofifa.net/flags/mx.png,https://cdn.futbin.com/content/fifa24/img/players/235844.png,0.2,0.7,0.4,0,0.7,0.6,1.9,0.7,1.5,0.1,3.2,0.8,0.4,0,41.4,85.7,0,2.6,0,West Ham
Mohammed Kudus,3,6,365,2,0,2,0,0.9,89.6,0,0.2,6.56,"RW,CAM",2000-08-02,€35.5M,€69K,left,245155,19,14,2023-08-27,2028,https://cdn.sofifa.net/flags/gh.png,https://cdn.futbin.com/content/fifa24/img/players/245155.png,0.6,1.3,1.3,0.1,1.7,1.3,1.2,0.1,0.8,0,0.2,0.1,0,0,17.1,89.6,0.1,0.9,0,West Ham
Nayef Aguerd,11,0,967,1,0,0,1,0.8,79.8,0,2.5,6.52,CB,1996-03-30,€18.5M,€66K,left,244749,19,27,2022-07-01,2027,https://cdn.sofifa.net/flags/ma.png,https://cdn.futbin.com/content/fifa24/img/players/244749.png,0.2,0.1,0.4,0,0.1,0.6,1,1.2,0.7,0.5,4.2,0.2,1.5,0,50.5,79.8,0,5.5,0,West Ham
Saïd Benrahma,4,5,435,0,1,1,0,1.3,81.5,0,0,6.48,"LM,CAM",1995-08-10,€15M,€66K,right,220621,19,22,2021-01-29,2026,https://cdn.sofifa.net/flags/dz.png,https://cdn.futbin.com/content/fifa24/img/players/220621.png,1.1,1,0.6,0.1,0.7,1.2,0.4,0.3,0.4,0.1,0.2,0.9,0,0,18,81.5,0.2,0.2,0.1,West Ham
Angelo Ogbonna,1,2,112,0,0,0,0,0,82.4,0,0.3,6.37,CB,1988-05-23,€2M,€38K,left,183855,19,21,2015-07-10,2024,https://cdn.sofifa.net/flags/it.png,https://cdn.futbin.com/content/fifa24/img/players/183855.png,0,0,0.3,0,0,0,0.3,0.3,0,0,2.7,0,1,0,5.7,82.4,0,0.7,0,West Ham
Aaron Cresswell,1,1,86,0,0,0,0,0,86,0,0.5,6.29,"LB,CB",1989-12-15,€5.5M,€56K,left,189615,19,3,2014-07-03,2024,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/189615.png,0.5,0,1,0,0,0,0.5,0,0,0,1,0,0,0,28.5,86,1,1,0,West Ham
Pablo Fornals,1,7,168,0,0,0,0,0.8,80,0,0,6.22,"LM,CAM",1996-02-22,€11M,€61K,right,226456,19,8,2019-07-01,2024,https://cdn.sofifa.net/flags/es.png,https://cdn.futbin.com/content/fifa24/img/players/226456.png,0.4,0.6,0,0,0.3,0.5,0.6,0.3,0.1,0,0,0.8,0,0,10.6,80,0,0.8,0,West Ham
Thilo Kehrer,0,3,18,0,0,1,0,0,100,0,0.3,6.01,"CB,RB",1996-09-21,€8.5M,€52K,right,226229,19,24,2022-08-17,2026,https://cdn.sofifa.net/flags/de.png,https://cdn.futbin.com/content/fifa24/img/players/226229.png,0,0,0,0,0,0,0,0,0.3,0,0,0,0.7,0,2,100,0,0,0,West Ham
Maxwel Cornet,0,1,1,0,0,0,0,0,100,0,0,6.00,"LM,CF",1996-09-27,€8M,€57K,left,215798,19,17,2022-08-05,2027,https://cdn.sofifa.net/flags/ci.png,https://cdn.futbin.com/content/fifa24/img/players/215798.png,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,100,0,0,0,West Ham
Danny Ings,0,8,68,0,0,1,0,0.1,57.9,0,0,5.96,ST,1992-07-23,€10.5M,€67K,right,195859,19,18,2023-01-20,2025,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/195859.png,0,0.1,0,0.1,0.1,0.5,0,0,0.3,0,0.4,0.1,0.1,0,2.4,57.9,0,0,0,West Ham
Konstantinos Mavropanos,1,1,91,0,0,1,0,0.5,70.7,0,2,5.91,"CB,RB",1997-12-11,€17.5M,€57K,right,242000,19,15,2023-08-22,2028,https://cdn.sofifa.net/flags/gr.png,https://cdn.futbin.com/content/fifa24/img/players/242000.png,0,0,1.5,0,0,0,0.5,1,1.5,0,2.5,0,0.5,1,20.5,70.7,0,0,0,West Ham
