name,starting_apps,sub_apps,mins,goals,asists,yel,red,shots_per_game,pass_accuracy,motm,aerial_duels_won,rating,positions,dob,value,wage,preferred_foot,profile_id,club_id,kit_number,joined,contract_valid_until,flag,image,key_passes,dribbles,fouled,offsides,possession_lost,bad_touch,tackles,interceptions,fouls,offsides_won,clearances,dribbled_past,blocks,own_goals,pass_per_game,accuracy,crosses,long_balls,through_balls,team_name
Pedro Neto,10,0,887,1,7,3,0,1.8,83.4,0,0.1,7.23,"LM,RM,RW",2000-03-09,€15M,€52K,left,238616,110,7,2019-08-05,2027,https://cdn.sofifa.net/flags/pt.png,https://cdn.futbin.com/content/fifa24/img/players/238616.png,2.5,2.3,1.2,0.1,0.9,3.1,0.4,0.3,0.9,0,0.2,0.7,0.1,0,30.8,83.4,2.3,1,0,Wolves
Matheus Cunha,12,0,988,2,2,1,0,2.1,79.4,2,0.8,7.09,"ST,CAM,CF",1999-05-27,€21.5M,€61K,right,240243,110,12,2023-07-01,2027,https://cdn.sofifa.net/flags/br.png,https://cdn.futbin.com/content/fifa24/img/players/240243.png,0.9,2.6,1.3,0.3,1.9,2.8,1.4,0.5,0.9,0,0.4,0.6,0.2,0,23.5,79.4,0,0.3,0.3,Wolves
Hwang Hee-Chan,9,3,777,6,2,3,0,1.5,80.7,1,0.1,6.95,,,,,,,,,,,,,0.9,1.7,1.2,0.4,0.5,1.9,0.8,0.3,1.1,0,0.3,0.4,0.1,0,19.4,80.7,0.2,0.4,0.1,Wolves
Mario Lemina,11,0,974,2,0,4,1,1.5,85,1,1.3,6.87,"CDM,CM",1993-09-01,€12M,€61K,right,212811,110,5,2023-01-13,2025,https://cdn.sofifa.net/flags/ga.png,https://cdn.futbin.com/content/fifa24/img/players/212811.png,0.3,0.9,0.5,0.1,0.6,0.7,2.4,1.8,1.4,0,1.5,1,0.2,0,38.9,85,0.1,1.4,0,Wolves
Matheus Nunes,2,0,180,0,0,0,1,0.5,84,0,1,6.80,"CM,LM",1998-08-27,€26.5M,€100K,right,253124,10,27,2023-09-01,2028,https://cdn.sofifa.net/flags/pt.png,https://cdn.futbin.com/content/fifa24/img/players/253124.png,1.5,5.5,3.5,1.5,2,1.5,1.5,3,0.5,0,0.5,2,0,0,50,84,1,0,0,Wolves
Rayan Aït-Nouri,11,1,879,0,0,4,0,0.7,84,0,0.8,6.76,"LB,LWB",2001-06-06,€11M,€42K,left,242641,110,3,2021-07-09,2026,https://cdn.sofifa.net/flags/fr.png,https://cdn.futbin.com/content/fifa24/img/players/242641.png,0.8,1.7,1.8,0.2,1.8,1.5,2.5,0.9,0.9,0.2,1.3,0.4,0.4,0,30.7,84,0.3,0.8,0,Wolves
Maximilian Kilman,12,0,1080,0,0,2,0,0.3,83.4,1,2.5,6.74,CB,1997-05-23,€9M,€51K,left,245336,110,23,2018-08-09,2028,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/245336.png,0.5,0.3,0.3,0,0.4,0.3,1.4,1.3,0.9,0.3,4.6,0.3,0.8,0,55.6,83.4,0.1,4.2,0.1,Wolves
Craig Dawson,12,0,1061,0,0,5,0,0.7,86.5,1,2.4,6.74,CB,1990-05-06,€5M,€55K,right,194806,110,15,2023-01-22,2025,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.futbin.com/content/fifa24/img/players/194806.png,0.3,0.2,0.7,0.1,0.2,0.3,1.6,0.5,1,0.3,4.6,0.3,1.4,0,49.5,86.5,0,4.3,0.2,Wolves
Nélson Semedo,11,0,961,0,0,5,0,0.5,80.2,0,0.7,6.70,"RB,RWB",1993-11-16,€12.5M,€61K,right,227928,110,22,2020-09-23,2025,https://cdn.sofifa.net/flags/pt.png,https://cdn.futbin.com/content/fifa24/img/players/227928.png,0.4,1.7,0.6,0,0.8,1.9,2.6,1.2,1.6,0.2,2.5,0.5,0.5,0,41.4,80.2,0.4,1.5,0,Wolves
Pablo Sarabia,2,4,192,1,2,1,0,1.3,73.1,0,0.3,6.68,"RM,CAM",1992-05-11,€11.5M,€64K,left,198950,110,21,2023-01-18,2025,https://cdn.sofifa.net/flags/es.png,https://cdn.futbin.com/content/fifa24/img/players/198950.png,1.5,0.2,0.3,0.5,0.7,0.5,0.5,0.2,0.5,0,0,0.7,0.2,0,13,73.1,0.3,0.3,0.3,Wolves
